Model,RMSE
308_murraygate_number_of_bicycles,10.2959
308_murraygate_number_of_people,1373.0550
308_murraygate_number_of_road_vehicles,19.8977
310_seagate_number_of_bicycles,4.8841
310_seagate_number_of_people,582.4233
310_seagate_number_of_road_vehicles,237.0590
317_reform_st_number_of_bicycles,16.0152
317_reform_st_number_of_people,1156.2443
317_reform_st_number_of_road_vehicles,101.7971
320_westport_number_of_bicycles,8.3508
320_westport_number_of_people,383.1087
320_westport_number_of_road_vehicles,943.2501
323_union_street_number_of_bicycles,8.4455
323_union_street_number_of_people,438.3027
323_union_street_number_of_road_vehicles,159.6360
328_south_marketgait_number_of_bicycles,12.2508
328_south_marketgait_number_of_people,557.7871
328_south_marketgait_number_of_road_vehicles,1142.7830
331_railway_station_number_of_bicycles,NA
331_railway_station_number_of_people,NA
331_railway_station_number_of_road_vehicles,NA
332_waterfront_number_of_bicycles,12.8471
332_waterfront_number_of_people,108.1568
332_waterfront_number_of_road_vehicles,554.0161
500_hilltown_number_of_bicycles,20.7359
500_hilltown_number_of_people,279.9939
500_hilltown_number_of_road_vehicles,623.1458
