ds,y,Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT
2023-08-01 04:00:00,39,2023,8,1,4,5,0,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 04:00:00,67,2023,8,1,4,5,0,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 04:00:00,83,2023,8,1,4,5,1,6,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 04:00:00,77,2023,8,1,4,5,0,12,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 05:00:00,251,2023,8,1,5,6,0,43,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 05:00:00,56,2023,8,1,5,6,0,28,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 05:00:00,237,2023,8,1,5,6,1,29,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 05:00:00,23,2023,8,1,5,6,2,92,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 05:00:00,138,2023,8,1,5,6,6,73,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 05:00:00,1,2023,8,1,5,6,1,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 05:00:00,181,2023,8,1,5,6,1,47,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 05:00:00,1,2023,8,1,5,6,1,21,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 06:00:00,504,2023,8,1,6,7,6,133,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 06:00:00,294,2023,8,1,6,7,7,96,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 06:00:00,324,2023,8,1,6,7,8,65,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 06:00:00,37,2023,8,1,6,7,4,113,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 06:00:00,625,2023,8,1,6,7,14,82,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 06:00:00,15,2023,8,1,6,7,4,164,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 06:00:00,81,2023,8,1,6,7,1,139,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 06:00:00,2,2023,8,1,6,7,1,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 07:00:00,3,2023,8,1,7,8,1,114,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 07:00:00,1505,2023,8,1,7,8,14,375,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 07:00:00,12,2023,8,1,7,8,3,173,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 07:00:00,659,2023,8,1,7,8,18,128,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 07:00:00,1730,2023,8,1,7,8,27,155,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 07:00:00,907,2023,8,1,7,8,5,193,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 07:00:00,211,2023,8,1,7,8,2,400,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 07:00:00,96,2023,8,1,7,8,5,302,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 08:00:00,7,2023,8,1,8,9,3,624,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 08:00:00,6,2023,8,1,8,9,9,237,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 08:00:00,1690,2023,8,1,8,9,14,490,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
