ds,y,Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-01 04:00:00,23,2023,8,1,4,5,0,9,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 04:00:00,11,2023,8,1,4,5,0,39,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 04:00:00,7,2023,8,1,4,5,0,67,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 04:00:00,6,2023,8,1,4,5,1,83,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 04:00:00,12,2023,8,1,4,5,0,77,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 05:00:00,43,2023,8,1,5,6,0,251,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 05:00:00,28,2023,8,1,5,6,0,56,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 05:00:00,29,2023,8,1,5,6,1,237,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 05:00:00,92,2023,8,1,5,6,2,23,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 05:00:00,73,2023,8,1,5,6,6,138,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 05:00:00,22,2023,8,1,5,6,1,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 05:00:00,47,2023,8,1,5,6,1,181,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 05:00:00,21,2023,8,1,5,6,1,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 06:00:00,133,2023,8,1,6,7,6,504,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 06:00:00,96,2023,8,1,6,7,7,294,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 06:00:00,65,2023,8,1,6,7,8,324,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 06:00:00,113,2023,8,1,6,7,4,37,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 06:00:00,82,2023,8,1,6,7,14,625,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 06:00:00,164,2023,8,1,6,7,4,15,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 06:00:00,139,2023,8,1,6,7,1,81,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 06:00:00,22,2023,8,1,6,7,1,2,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 07:00:00,114,2023,8,1,7,8,1,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 07:00:00,375,2023,8,1,7,8,14,1505,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 07:00:00,173,2023,8,1,7,8,3,12,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 07:00:00,128,2023,8,1,7,8,18,659,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
