ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-01 08:00:00,303,9,4,611,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 19:00:00,243,20,4,477,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 13:00:00,510,14,2,1640,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 18:00:00,318,19,2,745,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 07:00:00,211,8,2,400,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 21:00:00,43,22,2,86,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 15:00:00,509,16,1,1251,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 06:00:00,81,7,1,139,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 00:00:00,54,1,1,61,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 20:00:00,277,21,0,390,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 05:00:00,56,6,0,28,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 22:00:00,38,23,0,88,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 23:00:00,27,0,0,54,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 04:00:00,24,5,0,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 01:00:00,22,2,0,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 03:00:00,18,4,0,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-04 10:00:00,463,11,19,666,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 09:00:00,389,10,17,514,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 16:00:00,601,17,16,1090,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 14:00:00,642,15,14,1230,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 13:00:00,602,14,14,1195,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 15:00:00,567,16,14,1159,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 17:00:00,556,18,9,816,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 18:00:00,418,19,8,520,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 07:00:00,223,8,7,165,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 11:00:00,490,12,6,1072,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 08:00:00,308,9,6,348,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 19:00:00,210,20,4,365,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 06:00:00,106,7,3,82,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 21:00:00,68,22,2,214,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 05:00:00,18,6,2,72,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 23:00:00,90,0,1,297,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 20:00:00,68,21,1,217,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 22:00:00,63,23,1,175,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 02:00:00,22,3,1,169,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 00:00:00,50,1,0,96,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 03:00:00,15,4,0,13,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 04:00:00,10,5,0,13,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 01:00:00,9,2,0,84,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-12 21:00:00,296,22,3,246,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-05 09:00:00,339,10,8,601,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 13:00:00,577,14,6,2193,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 23:00:00,78,0,6,440,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-12 22:00:00,289,23,3,277,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-10 13:00:00,432,14,5,1070,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-18 13:00:00,614,14,1,1230,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-05 16:00:00,2127,17,5,442,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-12 06:00:00,20,7,3,52,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 13:00:00,329,14,5,1495,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 08:00:00,362,9,4,474,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-18 16:00:00,468,17,1,791,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-05 15:00:00,2002,16,5,496,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-14 19:00:00,177,20,9,273,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-12 13:00:00,542,14,2,1116,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 16:00:00,321,17,5,1487,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 19:00:00,290,20,4,635,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-18 05:00:00,4,6,1,39,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-05 20:00:00,260,21,5,497,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-14 21:00:00,58,22,8,202,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-12 03:00:00,50,4,2,573,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 00:00:00,82,1,5,358,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 10:00:00,448,11,3,758,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-18 19:00:00,410,20,0,533,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-16 18:00:00,11,19,1,167,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-05 22:00:00,72,23,5,293,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-14 07:00:00,61,8,7,231,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-12 04:00:00,11,5,2,49,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 15:00:00,338,16,4,1536,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 18:00:00,320,19,2,711,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-18 00:00:00,25,1,0,96,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-05 06:00:00,51,7,5,95,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-16 19:00:00,5,20,1,96,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-14 06:00:00,40,7,4,82,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-12 05:00:00,6,6,2,31,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 12:00:00,313,13,3,1361,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 21:00:00,167,22,2,313,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-18 03:00:00,20,4,0,12,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-05 12:00:00,516,13,4,1898,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-16 15:00:00,344,16,0,1088,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-14 20:00:00,41,21,3,198,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-12 14:00:00,568,15,1,1047,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 21:00:00,166,22,3,217,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 11:00:00,457,12,1,900,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 20:00:00,199,21,1,479,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 22:00:00,169,23,1,244,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 23:00:00,114,0,1,244,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 00:00:00,106,1,1,130,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 03:00:00,26,4,1,51,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 06:00:00,128,7,0,113,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 05:00:00,71,6,0,71,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 01:00:00,67,2,0,50,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 04:00:00,38,5,0,22,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 02:00:00,36,3,0,8,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-11 17:00:00,667,18,16,822,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 19:00:00,123,20,9,213,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 20:00:00,58,21,7,220,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 15:00:00,563,16,6,1481,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 12:00:00,557,13,5,1788,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
