ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-05 12:00:00,653,13,19,134,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-03 04:00:00,33,5,0,9,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 08:00:00,142,9,1,25,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 17:00:00,75,18,1,54,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 18:00:00,39,19,1,38,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 11:00:00,543,12,0,112,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 16:00:00,146,17,0,100,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-05 13:00:00,795,14,15,131,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 08:00:00,903,9,14,93,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 11:00:00,651,12,13,53,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-04 06:00:00,442,7,1,34,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 20:00:00,16,21,0,18,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 02:00:00,11,3,0,5,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-04 07:00:00,249,8,1,22,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 05:00:00,207,6,1,3,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 22:00:00,3,23,0,5,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 21:00:00,2,22,0,10,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-04 20:00:00,3,21,1,28,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 12:00:00,800,13,0,64,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 11:00:00,772,12,0,24,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 14:00:00,769,15,0,57,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 16:00:00,222,17,0,89,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-05 18:00:00,71,19,2,70,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 06:00:00,4,7,2,15,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 22:00:00,100,23,0,44,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 14:00:00,761,15,12,105,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 21:00:00,398,22,1,92,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 10:00:00,685,11,11,81,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 05:00:00,9,6,0,5,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 11:00:00,0,12,5,81,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 09:00:00,2,10,20,122,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 00:00:00,5,1,0,15,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 04:00:00,5,5,0,1,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 02:00:00,3,3,0,2,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 01:00:00,3,2,0,0,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 03:00:00,2,4,0,1,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 17:00:00,633,18,4,393,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 16:00:00,459,17,4,136,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 23:00:00,14,0,0,8,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 05:00:00,3,6,0,2,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
