ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-04 23:00:00,3,0,588,101,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 03:00:00,2,4,58,5,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 23:00:00,1,0,319,61,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 02:00:00,3,3,180,42,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 02:00:00,0,3,133,6,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 01:00:00,1,2,196,45,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-03 10:00:00,45,11,1554,201,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-04 03:00:00,0,4,32,22,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-03 18:00:00,38,19,1121,239,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-04 00:00:00,0,1,413,5,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-03 11:00:00,33,12,2100,235,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 12:00:00,43,13,2421,262,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 09:00:00,32,10,1086,194,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 14:00:00,28,15,2525,252,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 17:00:00,31,18,1493,243,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 13:00:00,25,14,1123,82,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 13:00:00,29,14,3534,253,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 08:00:00,27,9,589,174,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 11:00:00,20,12,1143,150,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 16:00:00,24,17,2241,195,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 18:00:00,18,19,1380,285,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 15:00:00,23,16,2361,229,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 17:00:00,16,18,1484,297,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 14:00:00,18,15,3136,260,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 09:00:00,14,10,1084,26,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 12:00:00,14,13,3344,227,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 16:00:00,12,17,1618,223,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 20:00:00,12,21,459,120,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 10:00:00,12,11,710,182,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 21:00:00,11,22,726,115,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 20:00:00,12,21,1213,169,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
