ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-04 23:00:00,588,0,3,101,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 03:00:00,58,4,2,5,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 23:00:00,319,0,1,61,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 02:00:00,180,3,3,42,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 02:00:00,133,3,0,6,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 01:00:00,196,2,1,45,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-03 10:00:00,1554,11,45,201,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-04 03:00:00,32,4,0,22,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-03 18:00:00,1121,19,38,239,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-04 00:00:00,413,1,0,5,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-03 11:00:00,2100,12,33,235,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 12:00:00,2421,13,43,262,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 09:00:00,1086,10,32,194,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 14:00:00,2525,15,28,252,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 17:00:00,1493,18,31,243,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 13:00:00,1123,14,25,82,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 13:00:00,3534,14,29,253,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 08:00:00,589,9,27,174,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 11:00:00,1143,12,20,150,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 16:00:00,2241,17,24,195,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 18:00:00,1380,19,18,285,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 15:00:00,2361,16,23,229,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 17:00:00,1484,18,16,297,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 14:00:00,3136,15,18,260,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 09:00:00,1084,10,14,26,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 12:00:00,3344,13,14,227,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 16:00:00,1618,17,12,223,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 20:00:00,459,21,12,120,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 10:00:00,710,11,12,182,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 21:00:00,726,22,11,115,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 20:00:00,1213,21,12,169,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 23:00:00,282,0,10,4,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 15:00:00,1806,16,10,220,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 22:00:00,520,23,10,1,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 08:00:00,570,9,9,13,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 19:00:00,608,20,7,114,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 19:00:00,1306,20,8,285,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 06:00:00,92,7,7,42,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 21:00:00,1178,22,8,233,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 07:00:00,286,8,6,80,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 03:00:00,408,4,7,16,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 05:00:00,95,6,5,27,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 07:00:00,286,8,6,39,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 04:00:00,47,5,3,10,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 22:00:00,998,23,5,129,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 01:00:00,154,2,1,36,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 03:00:00,71,4,1,9,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 00:00:00,248,1,0,36,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 02:00:00,207,3,0,19,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-04 10:00:00,1760,11,34,121,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 09:00:00,791,10,33,160,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 08:00:00,469,9,31,149,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 13:00:00,3667,14,30,143,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 14:00:00,3297,15,28,182,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-05 01:00:00,376,2,5,34,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-04 16:00:00,2668,17,24,43,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-05 02:00:00,219,3,5,23,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-04 12:00:00,3020,13,22,195,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-05 23:00:00,752,0,4,107,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 06:00:00,153,7,3,17,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 04:00:00,63,5,3,1,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 00:00:00,398,1,0,53,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 05:00:00,75,6,0,5,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-06 14:00:00,1812,15,40,212,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 18:00:00,967,19,33,201,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 17:00:00,1231,18,31,186,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 15:00:00,1759,16,31,171,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
