ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-21 08:00:00,2407,9,28,771,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 09:00:00,1908,10,28,778,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 10:00:00,1622,11,20,1022,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 19:00:00,1420,20,18,584,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 15:00:00,1956,16,16,1263,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 14:00:00,1643,15,14,952,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 21:00:00,722,22,12,461,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 12:00:00,1851,13,10,1049,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 20:00:00,1018,21,10,432,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 13:00:00,1753,14,9,874,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 06:00:00,606,7,9,111,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 23:00:00,259,0,3,142,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 22:00:00,490,23,2,251,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 01:00:00,108,2,2,34,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 05:00:00,207,6,1,53,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 00:00:00,167,1,1,76,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 02:00:00,86,3,0,23,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-26 16:00:00,2103,17,28,1243,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-24 15:00:00,2106,16,22,1071,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-14 09:00:00,1711,10,20,710,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 00:00:00,140,1,2,120,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-26 10:00:00,1990,11,25,1497,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-15 00:00:00,116,1,0,48,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-24 07:00:00,1909,8,21,425,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-14 07:00:00,1574,8,19,361,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 14:00:00,354,15,16,492,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 13:00:00,307,14,16,747,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 06:00:00,588,7,13,155,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 10:00:00,844,11,12,638,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 22:00:00,541,23,12,313,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 16:00:00,257,17,12,397,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 12:00:00,344,13,11,835,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 15:00:00,269,16,10,479,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 18:00:00,198,19,7,364,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 19:00:00,197,20,7,420,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 21:00:00,662,22,4,519,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 17:00:00,227,18,4,275,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 11:00:00,275,12,3,551,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 05:00:00,243,6,1,34,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 04:00:00,74,5,1,11,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 23:00:00,294,0,0,136,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 00:00:00,154,1,0,91,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 01:00:00,88,2,0,30,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 02:00:00,54,3,0,13,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 03:00:00,41,4,0,31,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-15 19:00:00,1391,20,67,375,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 17:00:00,2310,18,64,1014,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 08:00:00,2176,9,45,824,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 18:00:00,2128,19,29,450,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 07:00:00,1693,8,25,455,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 16:00:00,1941,17,23,847,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 15:00:00,1448,16,23,941,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 12:00:00,1882,13,20,1269,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 20:00:00,1119,21,20,205,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 13:00:00,1613,14,18,1152,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 10:00:00,1804,11,15,892,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 09:00:00,1674,10,13,697,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 14:00:00,1514,15,13,883,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 11:00:00,1941,12,9,945,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 06:00:00,605,7,8,166,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 21:00:00,685,22,5,389,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-26 15:00:00,2042,16,20,1199,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-24 11:00:00,1495,12,17,869,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-15 04:00:00,95,5,0,22,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-26 08:00:00,1009,9,14,441,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-17 00:00:00,167,1,2,69,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-28 10:00:00,1272,11,1,31,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-22 15:00:00,1917,16,30,952,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-24 10:00:00,1457,11,17,831,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-15 01:00:00,94,2,0,13,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-26 07:00:00,575,8,13,194,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-22 07:00:00,1727,8,30,441,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-24 09:00:00,1533,10,16,653,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-15 02:00:00,60,3,0,6,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-26 09:00:00,1486,10,12,975,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-22 18:00:00,1939,19,29,719,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-24 20:00:00,1136,21,14,676,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-15 03:00:00,50,4,0,11,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-26 19:00:00,1288,20,11,663,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-22 09:00:00,1819,10,29,684,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-24 06:00:00,539,7,6,183,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 22:00:00,529,23,6,368,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 21:00:00,866,22,4,555,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 23:00:00,290,0,4,305,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 00:00:00,168,1,1,93,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
