ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-09 01:00:00,0,2,101,9,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 02:00:00,0,3,71,5,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 03:00:00,0,4,28,2,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 05:00:00,0,6,20,1,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 04:00:00,0,5,12,1,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-10 18:00:00,20,19,836,38,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 17:00:00,18,18,904,22,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 19:00:00,17,20,649,49,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 21:00:00,15,22,461,35,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 22:00:00,12,23,300,42,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 11:00:00,11,12,780,8,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 12:00:00,10,13,1010,9,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 20:00:00,7,21,613,65,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 13:00:00,7,14,1121,3,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 15:00:00,6,16,977,6,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 14:00:00,6,15,1041,3,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 07:00:00,6,8,88,0,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 23:00:00,5,0,275,36,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 08:00:00,5,9,297,8,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 16:00:00,5,17,956,5,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 09:00:00,4,10,448,8,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 06:00:00,4,7,48,1,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 01:00:00,3,2,144,11,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 10:00:00,2,11,646,12,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 05:00:00,1,6,26,2,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 00:00:00,0,1,236,12,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 02:00:00,0,3,117,3,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 03:00:00,0,4,14,2,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 04:00:00,0,5,12,2,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-11 20:00:00,25,21,572,151,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-01 20:00:00,4,21,363,5,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-03 12:00:00,27,13,955,268,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 21:00:00,5,22,564,124,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 10:00:00,3,11,554,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-07 14:00:00,8,15,1126,14,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-03 13:00:00,27,14,1083,254,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 12:00:00,5,13,1325,17,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 17:00:00,3,18,541,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-07 21:00:00,8,22,365,7,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-03 16:00:00,25,17,1064,237,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 13:00:00,5,14,1947,5,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 18:00:00,3,19,457,6,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-07 15:00:00,7,16,961,19,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 10:00:00,6,11,690,17,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 06:00:00,5,7,46,37,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 20:00:00,5,21,499,5,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 00:00:00,4,1,317,59,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 05:00:00,4,6,16,25,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 09:00:00,4,10,487,24,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 11:00:00,4,12,924,16,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 02:00:00,2,3,70,43,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 22:00:00,2,23,375,13,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 12:00:00,2,13,1054,8,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 01:00:00,1,2,178,55,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 23:00:00,1,0,252,18,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 04:00:00,1,5,16,18,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 03:00:00,0,4,15,18,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-08 15:00:00,19,16,858,14,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 16:00:00,19,17,862,12,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 17:00:00,15,18,784,15,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 19:00:00,14,20,447,16,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 18:00:00,12,19,670,18,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 10:00:00,11,11,779,13,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 12:00:00,11,13,866,8,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 08:00:00,9,9,362,21,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 14:00:00,9,15,986,19,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 21:00:00,5,22,306,90,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 13:00:00,5,14,1129,11,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 09:00:00,5,10,464,10,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 07:00:00,4,8,142,36,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 22:00:00,4,23,201,21,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 06:00:00,4,7,33,16,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 11:00:00,4,12,801,4,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 05:00:00,3,6,19,19,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 00:00:00,1,1,234,13,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 01:00:00,1,2,156,7,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
