ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-05 12:00:00,134,13,19,653,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-03 04:00:00,9,5,0,33,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 08:00:00,25,9,1,142,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 17:00:00,54,18,1,75,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 18:00:00,38,19,1,39,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 11:00:00,112,12,0,543,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 16:00:00,100,17,0,146,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-05 13:00:00,131,14,15,795,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 08:00:00,93,9,14,903,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 11:00:00,53,12,13,651,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-04 06:00:00,34,7,1,442,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 20:00:00,18,21,0,16,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 02:00:00,5,3,0,11,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-04 07:00:00,22,8,1,249,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 05:00:00,3,6,1,207,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 22:00:00,5,23,0,3,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 21:00:00,10,22,0,2,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-04 20:00:00,28,21,1,3,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 12:00:00,64,13,0,800,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
