ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-17 23:00:00,78,0,2,311,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 05:00:00,15,6,2,239,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 04:00:00,16,5,2,91,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 00:00:00,30,1,1,169,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 03:00:00,3,4,1,48,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 01:00:00,15,2,0,80,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 02:00:00,1,3,0,61,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-18 17:00:00,382,18,95,1681,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 08:00:00,227,9,79,2170,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 18:00:00,227,19,79,1801,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 16:00:00,501,17,51,1893,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 09:00:00,277,10,46,1468,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-22 01:00:00,33,2,2,81,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-20 11:00:00,385,12,47,2605,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 18:00:00,238,19,30,2268,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 19:00:00,133,20,18,1869,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 20:00:00,226,21,18,1182,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 08:00:00,136,9,18,591,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 21:00:00,184,22,10,762,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 22:00:00,118,23,8,483,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 07:00:00,35,8,6,311,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 23:00:00,60,0,3,314,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 00:00:00,15,1,2,132,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 06:00:00,15,7,1,194,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 01:00:00,44,2,1,158,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 02:00:00,7,3,1,105,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 05:00:00,8,6,0,110,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 03:00:00,6,4,0,60,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 04:00:00,4,5,0,33,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-21 17:00:00,159,18,60,1773,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 19:00:00,88,20,56,1658,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 18:00:00,135,19,51,2208,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 16:00:00,215,17,47,2329,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 11:00:00,172,12,46,2597,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 10:00:00,133,11,41,2520,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 09:00:00,89,10,39,2784,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 21:00:00,181,22,27,703,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 15:00:00,648,16,26,1932,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 08:00:00,53,9,23,3720,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 12:00:00,154,13,20,2301,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 22:00:00,184,23,19,454,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 07:00:00,39,8,18,2565,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 20:00:00,98,21,17,1087,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 14:00:00,649,15,11,1690,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 06:00:00,36,7,8,263,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 13:00:00,340,14,7,2007,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 23:00:00,81,0,7,235,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 05:00:00,44,6,2,129,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 00:00:00,34,1,1,176,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 04:00:00,6,5,1,55,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 02:00:00,2,3,1,48,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 01:00:00,4,2,0,106,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 03:00:00,13,4,0,51,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-22 13:00:00,919,14,111,1963,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 12:00:00,1036,13,87,1980,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 11:00:00,865,12,83,1781,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 10:00:00,793,11,72,1867,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 16:00:00,912,17,70,2432,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 08:00:00,963,9,68,1976,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 14:00:00,1001,15,65,1927,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 17:00:00,138,18,59,1343,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 15:00:00,1113,16,52,2131,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-22 05:00:00,41,6,1,190,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-18 15:00:00,516,16,36,1605,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-28 22:00:00,78,23,4,486,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-22 04:00:00,4,5,1,99,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-28 05:00:00,22,6,3,217,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-22 00:00:00,40,1,0,166,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-28 00:00:00,45,1,3,153,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-22 03:00:00,0,4,0,49,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-28 21:00:00,99,22,2,524,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-23 17:00:00,376,18,116,1764,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-28 04:00:00,4,5,1,79,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-18 10:00:00,403,11,32,1589,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 14:00:00,520,15,86,1235,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-28 01:00:00,16,2,1,66,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-18 14:00:00,631,15,32,1555,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 16:00:00,457,17,82,1798,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-28 23:00:00,19,0,0,176,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-18 19:00:00,233,20,30,1590,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 13:00:00,520,14,75,1177,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-28 02:00:00,8,3,0,50,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-18 12:00:00,572,13,28,1621,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 09:00:00,314,10,68,1226,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-28 03:00:00,1,4,0,35,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-18 07:00:00,135,8,27,1608,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 11:00:00,366,12,67,1190,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-29 13:00:00,1318,14,107,1971,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-18 11:00:00,310,12,22,1003,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 08:00:00,297,9,63,1759,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-29 16:00:00,1337,17,91,2786,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-18 13:00:00,492,14,19,1527,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 10:00:00,361,11,54,1103,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-29 12:00:00,1471,13,81,1977,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-18 21:00:00,210,22,10,736,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
