ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-09 01:00:00,101,2,0,9,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 02:00:00,71,3,0,5,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 03:00:00,28,4,0,2,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 05:00:00,20,6,0,1,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 04:00:00,12,5,0,1,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-10 18:00:00,836,19,20,38,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 17:00:00,904,18,18,22,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 19:00:00,649,20,17,49,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 21:00:00,461,22,15,35,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 22:00:00,300,23,12,42,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 11:00:00,780,12,11,8,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 12:00:00,1010,13,10,9,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 20:00:00,613,21,7,65,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 13:00:00,1121,14,7,3,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 15:00:00,977,16,6,6,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 14:00:00,1041,15,6,3,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 07:00:00,88,8,6,0,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 23:00:00,275,0,5,36,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 08:00:00,297,9,5,8,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 16:00:00,956,17,5,5,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 09:00:00,448,10,4,8,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 06:00:00,48,7,4,1,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 01:00:00,144,2,3,11,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 10:00:00,646,11,2,12,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 05:00:00,26,6,1,2,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 00:00:00,236,1,0,12,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 02:00:00,117,3,0,3,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 03:00:00,14,4,0,2,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-10 04:00:00,12,5,0,2,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-11 20:00:00,572,21,25,151,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-01 20:00:00,363,21,4,5,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-03 12:00:00,955,13,27,268,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 21:00:00,564,22,5,124,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 10:00:00,554,11,3,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-07 14:00:00,1126,15,8,14,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-03 13:00:00,1083,14,27,254,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 12:00:00,1325,13,5,17,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 17:00:00,541,18,3,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-07 21:00:00,365,22,8,7,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-03 16:00:00,1064,17,25,237,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 13:00:00,1947,14,5,5,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 18:00:00,457,19,3,6,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-07 15:00:00,961,16,7,19,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 10:00:00,690,11,6,17,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 06:00:00,46,7,5,37,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 20:00:00,499,21,5,5,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
