ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-05 12:00:00,19,13,134,653,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-03 04:00:00,0,5,9,33,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 08:00:00,1,9,25,142,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 17:00:00,1,18,54,75,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 18:00:00,1,19,38,39,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 11:00:00,0,12,112,543,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 16:00:00,0,17,100,146,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-05 13:00:00,15,14,131,795,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 08:00:00,14,9,93,903,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 11:00:00,13,12,53,651,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-04 06:00:00,1,7,34,442,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 20:00:00,0,21,18,16,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-03 02:00:00,0,3,5,11,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-04 07:00:00,1,8,22,249,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 05:00:00,1,6,3,207,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 22:00:00,0,23,5,3,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
