ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-07 08:00:00,38,9,756,2132,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 07:00:00,31,8,422,1539,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 10:00:00,29,11,1175,1701,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-11 06:00:00,8,7,163,580,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 21:00:00,7,22,227,604,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 22:00:00,5,23,269,503,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 20:00:00,1,21,252,806,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 23:00:00,0,0,259,308,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 05:00:00,0,6,51,205,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 00:00:00,0,1,86,188,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 04:00:00,0,5,12,93,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 01:00:00,0,2,24,77,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 02:00:00,0,3,13,70,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 03:00:00,0,4,7,37,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-12 16:00:00,29,17,1799,1926,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 13:00:00,28,14,1658,2123,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 09:00:00,24,10,638,1481,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 12:00:00,23,13,1724,2182,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 17:00:00,15,18,1215,1565,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 10:00:00,14,11,1031,1869,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 19:00:00,14,20,2087,899,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 14:00:00,13,15,1861,2122,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 15:00:00,13,16,1549,1801,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 18:00:00,12,19,1339,873,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 11:00:00,11,12,1640,2168,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 20:00:00,11,21,661,671,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 08:00:00,8,9,507,1056,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 04:00:00,8,5,79,72,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 07:00:00,7,8,202,641,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 21:00:00,5,22,692,468,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 22:00:00,3,23,820,371,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 06:00:00,3,7,77,343,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 23:00:00,2,0,734,361,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 02:00:00,2,3,222,77,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 05:00:00,2,6,61,40,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 00:00:00,1,1,51,146,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 03:00:00,1,4,26,42,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 01:00:00,0,2,163,114,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-13 12:00:00,40,13,1238,2046,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 14:00:00,33,15,1056,2180,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 11:00:00,33,12,1044,1757,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 13:00:00,32,14,1124,2117,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 09:00:00,21,10,347,1018,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 18:00:00,19,19,684,1468,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 17:00:00,18,18,972,1700,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 10:00:00,18,11,1003,1637,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 16:00:00,17,17,1001,1907,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
