ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-10-02 01:00:00,47,2,0,97,0,16.2,8.0,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-02 02:00:00,21,3,0,67,0,16.2,8.0,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-02 03:00:00,7,4,0,52,0,16.2,8.0,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-03 08:00:00,942,9,46,2213,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 17:00:00,1074,18,40,2334,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-01 22:00:00,256,23,8,415,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-02 10:00:00,723,11,9,1488,0,16.2,8.0,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-01 06:00:00,36,7,5,196,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-01 08:00:00,194,9,4,686,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-02 06:00:00,135,7,8,578,0,16.2,8.0,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-02 22:00:00,220,23,5,366,0,16.2,8.0,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-01 01:00:00,37,2,0,149,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-01 05:00:00,36,6,0,89,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-01 03:00:00,17,4,0,79,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-01 04:00:00,8,5,0,66,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-01 02:00:00,9,3,0,47,0,13.6,8.9,0.5,0,0,0,1,0,0,0,1,0,0
2023-10-04 03:00:00,9,4,0,56,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-03 16:00:00,917,17,31,2242,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 15:00:00,994,16,31,1789,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 05:00:00,29,6,1,189,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 18:00:00,706,19,30,1685,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 00:00:00,60,1,1,139,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-05 08:00:00,929,9,39,2469,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 07:00:00,473,8,28,1650,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 17:00:00,1183,18,27,2824,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 18:00:00,968,19,22,2541,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 09:00:00,900,10,21,2078,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 12:00:00,1165,13,20,2197,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-04 12:00:00,1305,13,12,1970,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 17:00:00,977,18,45,2139,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-03 09:00:00,849,10,26,1712,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-05 10:00:00,894,11,19,1765,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-03 04:00:00,15,5,1,80,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-04 22:00:00,299,23,10,496,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 10:00:00,792,11,8,1904,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 21:00:00,303,22,7,664,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 19:00:00,591,20,6,1271,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 11:00:00,725,12,3,1707,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 20:00:00,378,21,3,963,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 06:00:00,126,7,3,493,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 23:00:00,89,0,3,227,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 01:00:00,58,2,3,77,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 18:00:00,685,19,33,1587,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-05 16:00:00,699,17,14,1475,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 11:00:00,802,12,9,1796,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 14:00:00,1304,15,7,2458,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 15:00:00,618,16,7,1320,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 13:00:00,831,14,6,2161,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-03 14:00:00,884,15,23,1655,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 12:00:00,1006,13,22,1630,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 11:00:00,795,12,17,1614,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 06:00:00,171,7,17,571,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 13:00:00,942,14,16,1654,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 07:00:00,358,8,14,1670,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 19:00:00,583,20,14,1264,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 10:00:00,736,11,13,1500,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 22:00:00,220,23,7,369,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 20:00:00,472,21,6,783,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 01:00:00,3,2,0,56,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 02:00:00,12,3,0,54,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 03:00:00,5,4,0,44,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-04 16:00:00,1066,17,20,2080,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 05:00:00,36,6,1,208,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 15:00:00,1022,16,20,1854,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 02:00:00,40,3,1,80,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
