ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-01-26 16:00:00,2349,17,12,721,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-27 16:00:00,363,17,5,452,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-26 21:00:00,710,22,2,374,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 02:00:00,63,3,0,72,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 17:00:00,1459,18,10,406,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-27 12:00:00,1577,13,4,476,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-26 15:00:00,1818,16,9,884,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-27 10:00:00,992,11,4,475,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 17:00:00,1477,18,3,332,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 23:00:00,544,0,3,261,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 07:00:00,219,8,3,37,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 11:00:00,1198,12,2,543,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 09:00:00,767,10,2,270,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 08:00:00,409,9,2,156,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 00:00:00,300,1,2,243,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 03:00:00,281,4,1,252,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 02:00:00,278,3,1,258,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 01:00:00,261,2,1,217,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 04:00:00,120,5,1,121,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 14:00:00,1573,15,12,618,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 18:00:00,1461,19,8,378,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 22:00:00,654,23,8,556,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 13:00:00,1558,14,7,577,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 15:00:00,1421,16,7,552,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 21:00:00,931,22,7,395,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 19:00:00,1223,20,6,426,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-27 20:00:00,1080,21,6,420,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-26 08:00:00,1400,9,1,377,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 09:00:00,1232,10,1,563,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 10:00:00,1095,11,1,464,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 22:00:00,548,23,8,331,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-28 13:00:00,1635,14,14,442,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 11:00:00,1200,12,14,307,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 18:00:00,1060,19,14,336,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
