ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-27 18:00:00,1410,19,31,1196,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-14 14:00:00,2154,15,30,1098,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-26 17:00:00,1976,18,30,1285,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 12:00:00,1899,13,30,1658,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-11 19:00:00,1013,20,30,805,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 15:00:00,2324,16,29,1730,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 14:00:00,2127,15,29,1581,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-03 15:00:00,1646,16,29,1059,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-08 17:00:00,1639,18,29,982,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 18:00:00,1529,19,29,1020,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 18:00:00,1441,19,29,750,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-31 08:00:00,2513,9,40,1035,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 19:00:00,1271,20,40,667,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 13:00:00,1804,14,39,1136,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-16 08:00:00,1962,9,38,1008,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-31 17:00:00,1948,18,38,1326,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 20:00:00,1144,21,38,622,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
