ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-08 18:00:00,12,19,97,11,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 10:00:00,10,11,20,1055,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 13:00:00,10,14,26,1044,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-03 18:00:00,10,19,272,259,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-09 16:00:00,9,17,36,551,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-24 21:00:00,9,22,124,378,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-03 20:00:00,10,21,594,38,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-10 13:00:00,10,14,221,33,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-11 14:00:00,10,15,327,16,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 13:00:00,10,14,34,14,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-15 09:00:00,11,10,38,645,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-03 15:00:00,11,16,483,228,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-09 15:00:00,12,16,79,488,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-10 09:00:00,11,10,100,46,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-10 19:00:00,11,20,141,30,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 16:00:00,11,17,331,6,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-12 20:00:00,11,21,11,0,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-08 15:00:00,8,16,39,1407,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 16:00:00,7,17,90,30,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-29 13:00:00,7,14,107,27,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 17:00:00,7,18,50,19,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 10:00:00,7,11,31,720,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-05 19:00:00,9,20,90,31,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-10 18:00:00,8,19,192,11,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-09 14:00:00,8,15,77,442,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-12 07:00:00,7,8,6,16,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 14:00:00,7,15,93,15,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
