ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-12-11 21:00:00,353,22,10,135,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 18:00:00,771,19,9,337,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-10 18:00:00,203,19,3,62,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 10:00:00,843,11,13,87,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 19:00:00,10,20,0,4,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 23:00:00,9,0,0,6,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 20:00:00,7,21,0,8,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 22:00:00,7,23,0,3,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-11 15:00:00,1042,16,73,594,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 14:00:00,984,15,58,455,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 12:00:00,879,13,40,444,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 11:00:00,905,12,34,392,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 16:00:00,1083,17,33,822,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 13:00:00,925,14,32,409,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 08:00:00,946,9,25,245,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 10:00:00,781,11,23,391,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 09:00:00,844,10,22,395,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-10 06:00:00,115,7,3,12,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 11:00:00,913,12,12,114,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
