ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-08 18:00:00,11,19,12,97,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 10:00:00,1055,11,10,20,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 13:00:00,1044,14,10,26,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-03 18:00:00,259,19,10,272,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-09 16:00:00,551,17,9,36,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-24 21:00:00,378,22,9,124,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-03 20:00:00,38,21,10,594,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-10 13:00:00,33,14,10,221,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-11 14:00:00,16,15,10,327,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 13:00:00,14,14,10,34,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-15 09:00:00,645,10,11,38,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-03 15:00:00,228,16,11,483,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-09 15:00:00,488,16,12,79,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-10 09:00:00,46,10,11,100,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-10 19:00:00,30,20,11,141,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 16:00:00,6,17,11,331,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-12 20:00:00,0,21,11,11,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-08 15:00:00,1407,16,8,39,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 16:00:00,30,17,7,90,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-29 13:00:00,27,14,7,107,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 17:00:00,19,18,7,50,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 10:00:00,720,11,7,31,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-05 19:00:00,31,20,9,90,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-10 18:00:00,11,19,8,192,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-09 14:00:00,442,15,8,77,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-12 07:00:00,16,8,7,6,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 14:00:00,15,15,7,93,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-24 15:00:00,538,16,7,93,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-12 08:00:00,14,9,9,30,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-16 13:00:00,9,14,7,107,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-11 16:00:00,8,17,9,67,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-16 08:00:00,7,9,9,10,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-04 09:00:00,2,10,7,22,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-29 21:00:00,5,22,9,233,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 06:00:00,1,7,7,9,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 16:00:00,65,17,6,182,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 08:00:00,9,9,6,9,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-15 10:00:00,732,11,5,21,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 09:00:00,1022,10,6,16,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-09 07:00:00,974,8,6,18,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-09 11:00:00,592,12,6,38,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-06 05:00:00,110,6,5,16,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-11 18:00:00,4,19,6,40,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 16:00:00,37,17,5,80,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 17:00:00,504,18,5,28,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-15 19:00:00,413,20,5,20,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 21:00:00,3,22,6,80,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 17:00:00,1,18,6,99,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-09 08:00:00,933,9,5,18,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-05 09:00:00,20,10,5,105,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 06:00:00,19,7,5,19,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 20:00:00,11,21,5,131,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-07 18:00:00,9,19,5,40,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-11 17:00:00,9,18,5,67,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 08:00:00,7,9,5,18,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 07:00:00,6,8,5,52,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 07:00:00,4,8,5,22,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 10:00:00,1,11,5,20,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 19:00:00,1,20,5,8,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 08:00:00,0,9,5,2,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 21:00:00,185,22,4,80,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-10 07:00:00,9,8,4,2,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-06 06:00:00,240,7,3,8,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-08 12:00:00,1076,13,4,8,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-02 08:00:00,5,9,4,4,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-05 12:00:00,4,13,4,229,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-23 15:00:00,875,16,4,77,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-01 07:00:00,4,8,4,6,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-14 13:00:00,802,14,4,9,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-04 12:00:00,4,13,4,149,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 15:00:00,4,16,4,96,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 12:00:00,4,13,4,42,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-02 06:00:00,3,7,4,0,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-07 13:00:00,2,14,4,42,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 13:00:00,1,14,4,44,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 20:00:00,0,21,4,15,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 14:00:00,1121,15,3,11,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-08 11:00:00,1075,12,3,4,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 14:00:00,64,15,4,320,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-05 21:00:00,34,22,4,370,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-14 08:00:00,803,9,3,3,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-09 18:00:00,676,19,3,66,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-09 19:00:00,573,20,3,64,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-03 14:00:00,53,15,3,181,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-03 13:00:00,150,14,3,75,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-24 09:00:00,142,10,3,27,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-23 13:00:00,138,14,3,33,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 06:00:00,446,7,4,22,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-06 07:00:00,108,8,3,21,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-16 12:00:00,24,13,4,74,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-04 18:00:00,18,19,4,24,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 15:00:00,17,16,4,48,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-11 12:00:00,15,13,3,460,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 15:00:00,10,16,3,46,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-02 07:00:00,9,8,3,6,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-01 12:00:00,312,13,2,18,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-16 11:00:00,8,12,3,118,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-01 18:00:00,6,19,3,6,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-03 22:00:00,146,23,2,74,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-08 21:00:00,283,22,2,12,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-06 15:00:00,4,16,3,27,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-07 15:00:00,4,16,3,79,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 11:00:00,4,12,3,143,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 11:00:00,3,12,3,75,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-01 16:00:00,2,17,3,5,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-13 16:00:00,2,17,3,42,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-16 07:00:00,2,8,3,7,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-08 19:00:00,1,20,3,13,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 20:00:00,0,21,3,11,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
