ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-09-22 07:00:00,17,8,65,1371,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-23 02:00:00,2,3,15,94,0,18.3,6.9,1.2,0,0,1,0,0,0,0,1,0,0
2023-09-21 02:00:00,0,3,3,29,0,15.4,9.2,0.0,0,0,0,0,1,0,0,1,0,0
2023-09-21 01:00:00,0,2,5,21,0,15.4,9.2,0.0,0,0,0,0,1,0,0,1,0,0
2023-09-23 04:00:00,2,5,16,46,0,18.3,6.9,1.2,0,0,1,0,0,0,0,1,0,0
2023-09-22 05:00:00,1,6,7,140,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 03:00:00,1,4,5,27,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-23 17:00:00,13,18,441,1371,0,18.3,6.9,1.2,0,0,1,0,0,0,0,1,0,0
2023-09-22 01:00:00,1,2,21,21,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-23 08:00:00,13,9,138,1113,0,18.3,6.9,1.2,0,0,1,0,0,0,0,1,0,0
2023-09-22 02:00:00,1,3,13,19,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 16:00:00,67,17,490,3039,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 17:00:00,60,18,392,2727,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 15:00:00,58,16,465,2627,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 14:00:00,57,15,452,2246,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 11:00:00,53,12,309,2166,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 09:00:00,52,10,120,1900,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 18:00:00,47,19,256,1980,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 12:00:00,44,13,387,2419,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 13:00:00,43,14,405,2418,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 10:00:00,43,11,329,2000,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 08:00:00,41,9,107,2419,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 23:00:00,0,0,63,284,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-22 00:00:00,0,1,28,99,0,11.2,8.2,0.0,1,0,0,0,0,0,0,1,0,0
2023-09-23 21:00:00,10,22,173,622,0,18.3,6.9,1.2,0,0,1,0,0,0,0,1,0,0
2023-09-23 05:00:00,10,6,40,121,0,18.3,6.9,1.2,0,0,1,0,0,0,0,1,0,0
2023-09-23 03:00:00,0,4,9,80,0,18.3,6.9,1.2,0,0,1,0,0,0,0,1,0,0
2023-09-24 06:00:00,1,7,56,163,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 02:00:00,1,3,11,125,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-25 00:00:00,1,1,53,130,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-24 03:00:00,1,4,20,91,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 05:00:00,1,6,15,73,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 04:00:00,1,5,7,69,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 20:00:00,12,21,305,702,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-25 17:00:00,67,18,367,2596,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 19:00:00,20,20,294,1150,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-24 07:00:00,4,8,58,282,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 16:00:00,92,17,364,2067,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 17:00:00,81,18,229,1699,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 10:00:00,64,11,336,1453,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 15:00:00,48,16,473,2006,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 14:00:00,44,15,508,1876,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 11:00:00,43,12,438,1841,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 18:00:00,42,19,240,1258,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 13:00:00,32,14,499,1958,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 19:00:00,30,20,265,960,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 12:00:00,24,13,552,1963,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-25 07:00:00,17,8,101,1805,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 15:00:00,48,16,372,2031,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 10:00:00,46,11,282,2041,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 11:00:00,44,12,367,2096,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 16:00:00,43,17,313,2529,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 12:00:00,30,13,366,2166,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 09:00:00,30,10,143,1966,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 18:00:00,29,19,228,1841,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 14:00:00,28,15,387,2063,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 08:00:00,27,9,140,2694,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 13:00:00,26,14,523,2049,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 20:00:00,16,21,289,859,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 05:00:00,5,6,25,209,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 23:00:00,5,0,28,202,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 04:00:00,2,5,10,67,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-24 08:00:00,8,9,72,450,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-25 22:00:00,14,23,79,324,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-24 22:00:00,3,23,103,333,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-25 01:00:00,0,2,2,58,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 03:00:00,0,4,1,55,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 02:00:00,0,3,7,45,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-24 01:00:00,8,2,37,177,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 23:00:00,2,0,18,173,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 09:00:00,6,10,137,802,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-24 00:00:00,6,1,46,297,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-25 21:00:00,10,22,115,479,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-25 06:00:00,9,7,78,584,0,16.7,12.4,0.0,0,1,0,0,0,0,0,1,0,0
2023-09-24 21:00:00,5,22,117,474,0,18.8,9.3,2.5,0,0,0,1,0,0,0,1,0,0
2023-09-27 12:00:00,40,13,428,2124,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 19:00:00,14,20,199,1019,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 01:00:00,0,2,4,65,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 17:00:00,74,18,344,2376,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 10:00:00,38,11,296,1917,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 00:00:00,6,1,28,120,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 13:00:00,70,14,359,1945,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 20:00:00,13,21,227,699,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
