ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-20 04:00:00,4,5,10,52,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 01:00:00,4,2,9,262,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 02:00:00,7,3,8,148,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 16:00:00,14,17,7,798,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 20:00:00,13,21,6,892,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 00:00:00,6,1,5,207,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 08:00:00,48,9,3,191,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 22:00:00,41,23,2,405,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 07:00:00,41,8,2,120,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 19:00:00,28,20,1,657,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-20 18:00:00,8,19,1,820,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0,0
2023-08-13 01:00:00,16,2,1,544,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0,0
2023-08-18 12:00:00,240,13,53,2668,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 14:00:00,162,15,27,3117,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-13 05:00:00,10,6,1,65,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0,0
2023-08-18 13:00:00,258,14,37,2795,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 15:00:00,156,16,21,1978,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-13 00:00:00,16,1,0,1020,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0,0
2023-08-18 16:00:00,242,17,35,2046,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 18:00:00,259,19,17,1266,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-13 03:00:00,16,4,0,520,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0,0
2023-08-18 14:00:00,219,15,28,2551,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 10:00:00,129,11,16,1888,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-13 04:00:00,9,5,0,43,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0,0
2023-08-18 17:00:00,281,18,22,1579,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 08:00:00,74,9,13,393,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-13 20:00:00,6,21,0,638,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0,0
2023-08-18 18:00:00,268,19,20,1092,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 21:00:00,117,22,11,582,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-13 21:00:00,3,22,0,596,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0,0
2023-08-18 10:00:00,253,11,19,1745,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 07:00:00,37,8,7,201,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 16:00:00,93,17,88,1305,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 11:00:00,155,12,19,1320,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 22:00:00,36,23,4,458,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 12:00:00,291,13,66,2951,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 20:00:00,209,21,18,767,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 06:00:00,14,7,3,142,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 11:00:00,252,12,59,2348,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 19:00:00,260,20,15,1149,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 05:00:00,7,6,3,71,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 10:00:00,178,11,53,1613,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 09:00:00,169,10,13,1014,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 01:00:00,73,2,2,115,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 14:00:00,74,15,42,2495,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 23:00:00,50,0,12,490,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 23:00:00,23,0,2,330,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 08:00:00,111,9,11,506,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 00:00:00,111,1,0,116,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 15:00:00,116,16,41,2064,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 15:00:00,61,16,7,1295,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 02:00:00,25,3,0,121,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 17:00:00,81,18,36,1431,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 22:00:00,38,23,7,616,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 03:00:00,24,4,0,79,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 13:00:00,179,14,32,3211,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 21:00:00,59,22,6,898,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-07 04:00:00,4,5,0,7,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-14 09:00:00,145,10,28,1278,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 07:00:00,14,8,6,173,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-08 14:00:00,145,15,68,2896,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 08:00:00,88,9,18,704,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 06:00:00,1,7,2,85,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-08 12:00:00,154,13,50,3214,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 19:00:00,203,20,17,1264,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 01:00:00,17,2,1,115,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-08 11:00:00,109,12,40,1813,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 18:00:00,110,19,16,1386,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 00:00:00,1,1,1,277,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-08 17:00:00,161,18,38,1591,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 06:00:00,37,7,13,192,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-18 05:00:00,10,6,0,81,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0,0
2023-08-08 10:00:00,146,11,37,904,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 21:00:00,3,22,9,628,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-08 15:00:00,118,16,37,2373,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 20:00:00,98,21,8,775,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-08 13:00:00,135,14,34,3385,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 22:00:00,1,23,7,483,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-08 16:00:00,146,17,33,2174,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-14 02:00:00,29,3,4,102,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0,0
2023-08-08 09:00:00,201,10,27,863,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-08 08:00:00,180,9,26,535,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-08 19:00:00,162,20,25,1048,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0,0
2023-08-23 18:00:00,288,19,69,1288,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 16:00:00,289,17,63,2024,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 09:00:00,244,10,50,1081,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 12:00:00,216,13,42,2983,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 15:00:00,274,16,40,1678,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 11:00:00,215,12,40,1965,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 08:00:00,335,9,31,764,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 14:00:00,280,15,28,2520,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 13:00:00,215,14,27,3150,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 10:00:00,241,11,22,1688,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 07:00:00,71,8,14,274,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 20:00:00,164,21,12,1128,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 06:00:00,33,7,11,159,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 19:00:00,199,20,10,1237,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 21:00:00,95,22,9,620,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 01:00:00,26,2,3,163,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 22:00:00,103,23,2,589,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 23:00:00,82,0,2,418,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 00:00:00,40,1,2,367,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
