ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-30 17:00:00,933,18,30,11,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 12:00:00,3858,13,41,24,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-09 10:00:00,1550,11,39,9,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-30 16:00:00,1264,17,39,4,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-14 13:00:00,2934,14,25,41,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 11:00:00,2255,12,25,31,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-27 15:00:00,3512,16,25,16,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-02 10:00:00,1749,11,25,16,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-30 14:00:00,2220,15,24,25,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 16:00:00,1768,17,24,13,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-07 11:00:00,1087,12,24,7,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-12 13:00:00,2219,14,23,17,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 09:00:00,760,10,23,14,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-14 12:00:00,2680,13,19,38,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-13 11:00:00,3546,12,19,33,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-03 14:00:00,2374,15,19,15,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-30 10:00:00,1518,11,19,14,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-12 16:00:00,1697,17,19,13,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
