ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-28 19:00:00,199,20,44,641,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-09 16:00:00,149,17,43,1235,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-08 16:00:00,402,17,43,1090,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-27 16:00:00,311,17,43,1067,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-29 14:00:00,443,15,43,1007,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 11:00:00,111,12,26,1263,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 12:00:00,647,13,26,1200,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-04 18:00:00,369,19,26,962,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 13:00:00,115,14,26,930,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-03 11:00:00,258,12,26,812,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-16 13:00:00,559,14,26,790,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-23 20:00:00,181,21,26,594,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 20:00:00,179,21,26,550,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-15 17:00:00,248,18,37,1175,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 16:00:00,424,17,37,899,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-01 12:00:00,300,13,37,861,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-24 17:00:00,190,18,36,1448,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-27 13:00:00,499,14,36,1274,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-27 14:00:00,490,15,36,1181,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-25 18:00:00,410,19,36,978,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 12:00:00,330,13,36,915,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-29 19:00:00,214,20,36,669,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-23 16:00:00,410,17,35,1145,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 13:00:00,802,14,35,939,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-06 14:00:00,326,15,35,897,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-13 12:00:00,142,13,34,1274,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-31 11:00:00,729,12,34,1089,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 19:00:00,171,20,34,892,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-30 20:00:00,119,21,34,755,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-14 16:00:00,506,17,34,697,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-05 15:00:00,310,16,31,1516,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-26 17:00:00,434,18,31,1457,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 12:00:00,472,13,31,1084,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
