Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Sun,2024/03/31 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,62,870,859,59
Fri,2024/03/22 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,38,826,292,60
Fri,2024/03/29 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,38,3330,264,61
Sat,2024/03/02 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,61,325,1014,62
Tue,2024/03/19 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,60,2812,219,63
Sat,2024/03/02 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,38,1511,229,64
Fri,2024/03/01 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,60,2555,167,65
Sun,2024/03/10 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,38,750,175,66
Sun,2024/03/31 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,59,1030,866,67
Wed,2024/03/13 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,38,1786,143,68
Sun,2024/03/31 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,58,2096,172,69
Mon,2024/03/18 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,38,3140,109,70
Mon,2024/03/04 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,58,1488,122,71
Mon,2024/03/18 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,38,2877,92,72
Tue,2024/03/05 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,56,225,842,73
Tue,2024/03/12 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,37,884,2626,74
Mon,2024/03/04 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,55,298,1214,75
Tue,2024/03/05 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,37,851,2619,76
Wed,2024/03/20 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,54,373,1389,77
Tue,2024/03/12 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,37,305,1649,78
Tue,2024/03/12 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,54,166,1247,79
Sat,2024/03/02 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,37,315,1385,80
Wed,2024/03/06 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,54,89,1052,81
Tue,2024/03/12 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,37,226,1312,82
Sun,2024/03/31 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,54,201,900,83
Wed,2024/03/20 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,37,395,1257,84
Sat,2024/03/02 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,54,3548,259,85
Fri,2024/03/01 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,37,412,1059,86
Mon,2024/03/11 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,53,384,1188,87
Sun,2024/03/03 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,37,178,1011,88
Tue,2024/03/12 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,53,1880,238,89
Fri,2024/03/22 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,37,2088,102,90
Fri,2024/03/22 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,53,1288,231,91
Fri,2024/03/08 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,36,748,2406,92
Fri,2024/03/29 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,52,415,2070,93
Wed,2024/03/27 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,52,640,1830,94
Thu,2024/03/14 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,52,172,1559,95
Sat,2024/03/30 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,52,2572,243,96
Wed,2024/03/13 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,51,216,1342,97
Sun,2024/03/31 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,51,1893,160,98
Sat,2024/03/30 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,50,242,1493,99
