Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/11/26 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,1,152,387,4633
Sun,2023/11/26 00:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,1,29,357,4634
Sun,2023/11/26 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,1,81,252,4635
Sun,2023/11/26 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,1,95,205,4636
Sun,2023/11/26 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,1,211,164,4637
Sun,2023/11/26 00:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,1,38,6,4638
Sun,2023/11/26 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,10,381,893,4639
Fri,2023/11/24 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,17,25,4640
Sat,2023/11/25 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,5,49,400,4641
Sun,2023/11/26 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,0,419,544,4642
Sun,2023/11/26 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,10,102,720,4643
Fri,2023/11/24 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,72,24,4644
Sat,2023/11/25 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,5,2066,79,4645
Sun,2023/11/26 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,0,126,377,4646
Sun,2023/11/26 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,10,1219,365,4647
Fri,2023/11/24 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,52,23,4648
Sat,2023/11/25 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,5,1882,15,4649
Sun,2023/11/26 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,0,145,349,4650
Sun,2023/11/26 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,10,185,81,4651
