Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Tue,2023/11/28 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,16,83,649,4829
Tue,2023/11/28 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,16,652,221,4830
Tue,2023/11/28 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,3,48,4831
Sun,2023/11/26 00:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,4,16,4832
Tue,2023/11/28 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,2,351,2060,4833
Mon,2023/11/27 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,10,385,1512,4834
Mon,2023/11/27 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,0,138,74,4835
Tue,2023/11/28 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,15,778,1981,4836
Tue,2023/11/28 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,15,209,889,4837
Tue,2023/11/28 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,15,63,686,4838
Tue,2023/11/28 00:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,15,916,264,4839
Tue,2023/11/28 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,14,740,287,4840
Tue,2023/11/28 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,14,558,193,4841
Tue,2023/11/28 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,14,691,5,4842
