Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Thu,2024/01/04 00:00:00+00,1:00 AM-2:00 AM,Camera 332 Waterfront,0,2,0,614
Fri,2024/01/05 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,119,210,1251,615
Fri,2024/01/05 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,94,181,1035,616
Fri,2024/01/05 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,82,210,1208,617
Fri,2024/01/05 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,47,194,1145,618
Fri,2024/01/05 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,35,250,1163,619
Fri,2024/01/05 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,32,269,982,620
Fri,2024/01/05 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,24,71,956,621
Fri,2024/01/05 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,24,3206,41,622
Fri,2024/01/05 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,22,256,1119,623
Fri,2024/01/05 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,22,2847,51,624
Fri,2024/01/05 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,21,1008,229,625
Fri,2024/01/05 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,20,1962,57,626
Fri,2024/01/05 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,18,252,2189,627
Fri,2024/01/05 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,17,130,1230,628
Fri,2024/01/05 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,17,2842,159,629
Fri,2024/01/05 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,15,698,2114,630
Fri,2024/01/05 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,15,208,1022,631
Fri,2024/01/05 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,15,234,933,632
Fri,2024/01/05 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,15,180,763,633
Fri,2024/01/05 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,15,2110,196,634
Fri,2024/01/05 00:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,14,858,210,635
Fri,2024/01/05 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,13,124,1288,636
Fri,2024/01/05 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,13,3835,34,637
Fri,2024/01/05 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,12,100,799,638
Fri,2024/01/05 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,12,1047,216,639
Fri,2024/01/05 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,11,2589,174,640
Fri,2024/01/05 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,10,97,2200,641
Fri,2024/01/05 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,10,37,1593,642
Fri,2024/01/05 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,10,49,1043,643
Fri,2024/01/05 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,10,621,171,644
Fri,2024/01/05 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,10,3631,27,645
Fri,2024/01/05 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,10,1923,20,646
Fri,2024/01/05 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,9,128,2086,647
Fri,2024/01/05 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,9,81,2032,648
Thu,2024/01/04 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,1,55,32,649
Wed,2024/01/03 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,1,155,350,650
Thu,2024/01/04 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,3,257,904,651
Thu,2024/01/04 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,11,506,50,652
Wed,2024/01/03 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,1,39,332,653
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera 332 Waterfront,1,21,27,654
Thu,2024/01/04 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,3,238,765,655
Thu,2024/01/04 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,10,663,1727,656
Wed,2024/01/03 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,1,59,282,657
Thu,2024/01/04 00:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,1,13,26,658
Thu,2024/01/04 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,3,215,380,659
Thu,2024/01/04 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,10,374,194,660
Wed,2024/01/03 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,1,760,270,661
Thu,2024/01/04 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,1,739,24,662
Thu,2024/01/04 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,3,765,331,663
Thu,2024/01/04 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,10,2360,120,664
Wed,2024/01/03 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,1,56,146,665
Thu,2024/01/04 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,3,491,306,666
Wed,2024/01/03 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,83,106,667
Thu,2024/01/04 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,1,9,11,668
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,10,195,78,669
Wed,2024/01/03 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,1,32,80,670
Thu,2024/01/04 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,9,1155,2090,671
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,3,97,298,672
Wed,2024/01/03 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,1,56,46,673
Thu,2024/01/04 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,1,77,10,674
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,9,56,438,675
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,3,33,231,676
Wed,2024/01/03 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,1,5,35,677
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,1,38,9,678
Thu,2024/01/04 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,9,342,155,679
Thu,2024/01/04 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,3,22,190,680
Wed,2024/01/03 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,1,318,24,681
Thu,2024/01/04 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,1,2131,8,682
Thu,2024/01/04 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,9,1267,108,683
Thu,2024/01/04 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,3,1987,33,684
Wed,2024/01/03 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,1,1189,19,685
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,1,181,8,686
Thu,2024/01/04 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,8,559,1825,687
Thu,2024/01/04 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,3,122,19,688
Wed,2024/01/03 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,1,163,17,689
Thu,2024/01/04 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,1,124,8,690
Thu,2024/01/04 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,8,476,1702,691
Thu,2024/01/04 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,3,1527,9,692
Wed,2024/01/03 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,1,145,12,693
Thu,2024/01/04 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,1,17,7,694
Thu,2024/01/04 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,8,32,440,695
Thu,2024/01/04 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,3,496,8,696
Wed,2024/01/03 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,1,15,10,697
Thu,2024/01/04 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,1,390,2,698
Thu,2024/01/04 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,8,77,405,699
Thu,2024/01/04 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,3,148,7,700
Wed,2024/01/03 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,1,136,9,701
Thu,2024/01/04 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,0,342,1175,702
Thu,2024/01/04 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,8,562,158,703
Thu,2024/01/04 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,2,555,1735,704
Wed,2024/01/03 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,1,11,5,705
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,0,93,564,706
Thu,2024/01/04 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,8,180,118,707
Thu,2024/01/04 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,2,501,1225,708
Wed,2024/01/03 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,1,2566,2,709
Thu,2024/01/04 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,43,276,710
Thu,2024/01/04 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,8,241,116,711
Thu,2024/01/04 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,2,228,1151,712
Wed,2024/01/03 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,81,1,713
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,84,263,714
Thu,2024/01/04 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,8,1058,17,715
Thu,2024/01/04 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,2,213,512,716
Wed,2024/01/03 00:00:00+00,2:00 AM-3:00 AM,Camera 332 Waterfront,1,10,0,717
Thu,2024/01/04 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,0,64,176,718
Thu,2024/01/04 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,8,2653,15,719
Thu,2024/01/04 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,2,801,441,720
Wed,2024/01/03 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,1,10,0,721
Thu,2024/01/04 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,52,164,722
Thu,2024/01/04 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,7,477,1924,723
Thu,2024/01/04 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,2,1106,412,724
Wed,2024/01/03 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,0,114,945,725
Thu,2024/01/04 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,6,579,1590,726
Wed,2024/01/03 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,0,103,787,727
Thu,2024/01/04 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,2,285,256,728
Thu,2024/01/04 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,0,22,129,729
Thu,2024/01/04 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,2,80,101,730
Thu,2024/01/04 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,73,125,731
Wed,2024/01/03 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,0,111,677,732
Thu,2024/01/04 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,2,3,64,733
Thu,2024/01/04 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,6,273,1270,734
Thu,2024/01/04 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,0,12,123,735
Thu,2024/01/04 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,2,165,53,736
Thu,2024/01/04 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,6,27,228,737
Thu,2024/01/04 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,0,89,102,738
Thu,2024/01/04 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,2,11,44,739
Thu,2024/01/04 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,6,67,2,740
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,69,100,741
Thu,2024/01/04 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,2,1098,9,742
Thu,2024/01/04 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,5,411,1581,743
Thu,2024/01/04 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,0,33,98,744
Thu,2024/01/04 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,2,3167,6,745
Thu,2024/01/04 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,5,68,597,746
Thu,2024/01/04 00:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,0,9,90,747
Thu,2024/01/04 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,2,1201,6,748
Thu,2024/01/04 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,5,795,94,749
Thu,2024/01/04 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,74,86,750
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,1,260,959,751
Thu,2024/01/04 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,5,455,56,752
Thu,2024/01/04 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,0,91,85,753
Thu,2024/01/04 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,1,406,894,754
Thu,2024/01/04 00:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,4,962,377,755
Thu,2024/01/04 00:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,29,81,756
Thu,2024/01/04 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,1,356,698,757
Thu,2024/01/04 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,4,668,186,758
Thu,2024/01/04 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,0,68,80,759
Thu,2024/01/04 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,1,160,590,760
Thu,2024/01/04 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,4,116,114,761
Thu,2024/01/04 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,0,19,73,762
Thu,2024/01/04 00:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,1,226,554,763
Thu,2024/01/04 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,4,45,37,764
Thu,2024/01/04 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,2,73,765
Thu,2024/01/04 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,1,187,432,766
Thu,2024/01/04 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,4,240,20,767
Thu,2024/01/04 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,6,71,768
Thu,2024/01/04 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,1,850,430,769
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,4,207,15,770
Thu,2024/01/04 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,55,70,771
Thu,2024/01/04 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,1,921,398,772
Thu,2024/01/04 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,5,65,773
Thu,2024/01/04 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,1,110,388,774
Thu,2024/01/04 00:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,9,46,775
Thu,2024/01/04 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,1,158,340,776
Thu,2024/01/04 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,0,3,46,777
Thu,2024/01/04 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,1,442,225,778
Thu,2024/01/04 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,0,59,45,779
Thu,2024/01/04 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,1,127,223,780
Thu,2024/01/04 00:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,0,41,781
Thu,2024/01/04 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,1,119,205,782
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,1,133,159,783
Thu,2024/01/04 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,1,294,146,784
Thu,2024/01/04 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,1,18,131,785
Thu,2024/01/04 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,1,77,80,786
Thu,2024/01/04 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,1,148,70,787
Thu,2024/01/04 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,1,90,64,788
Thu,2024/01/04 00:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,0,5,40,789
Thu,2024/01/04 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,0,416,39,790
Thu,2024/01/04 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,40,38,791
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,0,22,35,792
Thu,2024/01/04 00:00:00+00,4:00 AM-5:00 AM,Camera 332 Waterfront,0,2,32,793
Thu,2024/01/04 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,0,79,26,794
Thu,2024/01/04 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,0,66,26,795
Thu,2024/01/04 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,12,25,796
Thu,2024/01/04 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,0,313,24,797
Thu,2024/01/04 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,8,22,798
Thu,2024/01/04 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,0,39,21,799
Thu,2024/01/04 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,0,67,8,800
Fri,2024/01/05 00:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,49,5,801
Fri,2024/01/05 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,0,214,4,802
Fri,2024/01/05 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,0,410,3,803
Fri,2024/01/05 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,0,292,3,804
Fri,2024/01/05 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,11,3,805
Fri,2024/01/05 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,0,1,2,806
Fri,2024/01/05 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,0,145,1,807
Fri,2024/01/05 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,0,1,0,808
Sat,2024/01/06 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,88,771,906,809
Sat,2024/01/06 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,77,529,1143,810
Sat,2024/01/06 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,47,349,1071,811
Sat,2024/01/06 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,45,566,944,812
Sat,2024/01/06 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,43,368,765,813
Sat,2024/01/06 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,42,238,845,814
Sat,2024/01/06 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,36,3592,14,815
Sat,2024/01/06 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,35,338,1189,816
Sat,2024/01/06 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,28,245,837,817
Sat,2024/01/06 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,27,375,1072,818
Sat,2024/01/06 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,22,432,3,819
Sat,2024/01/06 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,21,189,655,820
Sat,2024/01/06 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,20,2279,16,821
Sat,2024/01/06 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,19,420,730,822
Sat,2024/01/06 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,17,1275,2155,823
Sat,2024/01/06 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,16,1088,2103,824
Sat,2024/01/06 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,16,800,1970,825
Sat,2024/01/06 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,16,184,659,826
Sat,2024/01/06 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,16,101,577,827
Sat,2024/01/06 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,16,2398,18,828
Sat,2024/01/06 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,15,379,839,829
Sat,2024/01/06 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,15,176,648,830
Sat,2024/01/06 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,14,2734,212,831
Sat,2024/01/06 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,13,1283,2168,832
Sat,2024/01/06 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,13,1122,1861,833
Sat,2024/01/06 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,13,181,500,834
Sat,2024/01/06 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,12,1203,2261,835
Sat,2024/01/06 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,11,544,125,836
Sat,2024/01/06 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,10,68,535,837
Sat,2024/01/06 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,10,64,436,838
Sat,2024/01/06 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,10,913,211,839
Sat,2024/01/06 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,10,3578,37,840
Sat,2024/01/06 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,0,424,151,841
Fri,2024/01/05 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,9,64,426,842
Fri,2024/01/05 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,0,193,309,843
Sat,2024/01/06 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,10,230,5,844
Sat,2024/01/06 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,9,280,1283,845
Sat,2024/01/06 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,9,246,836,846
Sat,2024/01/06 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,9,446,171,847
Sat,2024/01/06 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,8,498,1693,848
Sat,2024/01/06 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,8,998,227,849
Sat,2024/01/06 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,8,673,184,850
Sat,2024/01/06 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,8,1200,165,851
Sat,2024/01/06 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,8,837,152,852
Sat,2024/01/06 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,7,426,968,853
Fri,2024/01/05 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,3,287,288,854
Sat,2024/01/06 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,0,27,133,855
Fri,2024/01/05 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,9,1098,208,856
Sat,2024/01/06 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,0,68,130,857
Sat,2024/01/06 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,0,152,121,858
Fri,2024/01/05 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,9,709,180,859
Sat,2024/01/06 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,0,444,107,860
Fri,2024/01/05 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,3,260,91,861
Fri,2024/01/05 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,9,1195,53,862
Fri,2024/01/05 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,132,299,863
Sat,2024/01/06 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,0,132,103,864
Fri,2024/01/05 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,3,62,59,865
Fri,2024/01/05 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,9,1410,10,866
Fri,2024/01/05 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,362,284,867
Sat,2024/01/06 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,29,98,868
Fri,2024/01/05 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,3,629,34,869
Fri,2024/01/05 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,8,652,1973,870
Fri,2024/01/05 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,0,214,230,871
Sat,2024/01/06 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,49,80,872
Fri,2024/01/05 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,3,805,17,873
Fri,2024/01/05 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,8,59,1870,874
Fri,2024/01/05 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,3,229,875
Sat,2024/01/06 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,10,70,876
