Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,1,53,95,61
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,1,255,85,62
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,1,183,72,63
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,1,66,66,64
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,1,59,60,65
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,1,795,45,66
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,1,211,40,67
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,1,48,40,68
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,1,810,33,69
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,1,15,33,70
Mon,2024/01/01 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,37,27,71
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,1,195,24,72
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,1,230,5,73
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,0,195,463,74
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,0,103,433,75
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,0,148,354,76
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,0,91,352,77
Mon,2024/01/01 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,0,188,336,78
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,0,79,214,79
Mon,2024/01/01 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,0,93,208,80
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,0,55,182,81
