Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Sat,2023/09/01 23:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,5,910,7,59
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,7,457,18,60
Sat,2023/09/01 23:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,5,676,3,61
Sat,2023/09/01 23:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,4,688,853,62
Sat,2023/09/01 23:00:00+00,11:00 PM-12:00 AM,Camera 331 Railway Station,4,97,431,63
Sat,2023/09/01 23:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,4,355,360,64
Sat,2023/09/01 23:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,4,463,110,65
Sat,2023/09/01 23:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,4,224,95,66
Sat,2023/09/01 23:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,4,511,42,67
Sat,2023/09/01 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,4,1078,3,68
Sat,2023/09/01 23:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,4,1143,1,69
Sat,2023/09/01 23:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,3,111,459,70
Sat,2023/09/01 23:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,3,416,130,71
Sat,2023/09/01 23:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,3,1135,96,72
Sat,2023/09/01 23:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,3,299,46,73
Sat,2023/09/01 23:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,3,825,11,74
Sat,2023/09/01 23:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,3,45,4,75
Sat,2023/09/01 23:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,3,31,3,76
Sat,2023/09/01 23:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,2,679,707,77
Sat,2023/09/01 23:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,2,846,538,78
Sat,2023/09/01 23:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,2,115,500,79
Sat,2023/09/01 23:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,2,114,282,80
Sat,2023/09/01 23:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,2,25,160,81
Sat,2023/09/01 23:00:00+00,5:00 AM-6:00 AM,Camera 331 Railway Station,2,39,136,82
Sat,2023/09/01 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,2,181,127,83
Sat,2023/09/01 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,2,384,126,84
Sat,2023/09/01 23:00:00+00,4:00 AM-5:00 AM,Camera 331 Railway Station,2,26,94,85
Sat,2023/09/01 23:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,2,424,54,86
Sat,2023/09/01 23:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,2,55,49,87
Sat,2023/09/01 23:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,2,68,17,88
Sat,2023/09/01 23:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,2,108,12,89
Sat,2023/09/01 23:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,2,1193,7,90
Sat,2023/09/01 23:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,2,1131,1,91
Sat,2023/09/01 23:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,2,403,1,92
Sat,2023/09/01 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,2,44,0,93
Sat,2023/09/01 23:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,1,527,572,94
