Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Fri,2023/09/07 23:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,105,89,1406
Fri,2023/09/07 23:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,16,601,1115,1407
Fri,2023/09/07 23:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,35,1106,381,1408
Fri,2023/09/07 23:00:00+00,2:00 AM-3:00 AM,Camera 331 Railway Station,0,9,74,1409
Fri,2023/09/07 23:00:00+00,11:00 PM-12:00 AM,Camera 331 Railway Station,16,218,502,1410
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,1,22,3,1411
Thu,2023/09/06 23:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,6,167,60,1412
Fri,2023/09/07 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,34,840,1315,1413
Fri,2023/09/07 23:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,11,68,1414
Fri,2023/09/07 23:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,16,650,482,1415
Thu,2023/09/06 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,1,79,2,1416
Thu,2023/09/06 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,6,406,1,1417
Fri,2023/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,34,2807,44,1418
Fri,2023/09/07 23:00:00+00,3:00 AM-4:00 AM,Camera 331 Railway Station,0,4,56,1419
Fri,2023/09/07 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,16,966,62,1420
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera 331 Railway Station,1,28,0,1421
Thu,2023/09/06 23:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,5,359,721,1422
Fri,2023/09/07 23:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,32,929,1754,1423
Fri,2023/09/07 23:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,19,53,1424
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,16,1623,27,1425
Thu,2023/09/06 23:00:00+00,3:00 AM-4:00 AM,Camera 331 Railway Station,1,7,0,1426
Thu,2023/09/06 23:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,5,322,597,1427
Fri,2023/09/07 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,32,673,1127,1428
Fri,2023/09/07 23:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,29,49,1429
Fri,2023/09/07 23:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,120,47,1430
Fri,2023/09/07 23:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,0,248,36,1431
Fri,2023/09/07 23:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,12,24,1432
Fri,2023/09/07 23:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,0,132,18,1433
Fri,2023/09/07 23:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,0,124,15,1434
Fri,2023/09/07 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,101,9,1435
Fri,2023/09/07 23:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,19,9,1436
Fri,2023/09/07 23:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,14,8,1437
Fri,2023/09/07 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,66,5,1438
Fri,2023/09/07 23:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,0,40,5,1439
Fri,2023/09/07 23:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,0,42,3,1440
Fri,2023/09/07 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,11,2,1441
Fri,2023/09/07 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,45,1,1442
Fri,2023/09/07 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,13,1,1443
Fri,2023/09/07 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,41,0,1444
Sat,2023/09/08 23:00:00+00,10:00 AM-11:00 AM,Camera 331 Railway Station,103,349,1864,1445
Sat,2023/09/08 23:00:00+00,3:00 PM-4:00 PM,Camera 331 Railway Station,91,549,1830,1446
Sat,2023/09/08 23:00:00+00,1:00 PM-2:00 PM,Camera 331 Railway Station,90,556,2265,1447
Sat,2023/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera 331 Railway Station,78,526,2218,1448
Sat,2023/09/08 23:00:00+00,12:00 PM-1:00 PM,Camera 331 Railway Station,77,498,2290,1449
Sat,2023/09/08 23:00:00+00,9:00 AM-10:00 AM,Camera 331 Railway Station,75,251,1313,1450
Sat,2023/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,68,2372,139,1451
Sat,2023/09/08 23:00:00+00,6:00 PM-7:00 PM,Camera 331 Railway Station,65,1342,1657,1452
Sat,2023/09/08 23:00:00+00,2:00 PM-3:00 PM,Camera 331 Railway Station,64,677,2048,1453
Sat,2023/09/08 23:00:00+00,4:00 PM-5:00 PM,Camera 331 Railway Station,58,1377,2021,1454
Sat,2023/09/08 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,54,2935,155,1455
Sat,2023/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 331 Railway Station,51,1626,1882,1456
Sat,2023/09/08 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,47,3213,134,1457
Sat,2023/09/08 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,44,1267,2235,1458
Sat,2023/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,44,377,899,1459
Fri,2023/09/07 23:00:00+00,9:00 PM-10:00 PM,Camera 331 Railway Station,32,372,875,1460
Thu,2023/09/06 23:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,5,287,572,1461
Thu,2023/09/06 23:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,0,93,301,1462
Fri,2023/09/07 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,16,3194,11,1463
Fri,2023/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,31,747,1227,1464
Thu,2023/09/06 23:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,5,1246,498,1465
Thu,2023/09/06 23:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,8,150,1466
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,16,2237,11,1467
Fri,2023/09/07 23:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,30,125,625,1468
Thu,2023/09/06 23:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,5,263,482,1469
Thu,2023/09/06 23:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,30,68,1470
Fri,2023/09/07 23:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,16,752,4,1471
Fri,2023/09/07 23:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,28,652,2402,1472
Thu,2023/09/06 23:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,5,520,76,1473
Thu,2023/09/06 23:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,48,56,1474
Fri,2023/09/07 23:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,15,55,279,1475
Fri,2023/09/07 23:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,28,223,1793,1476
Thu,2023/09/06 23:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,5,168,17,1477
Thu,2023/09/06 23:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,6,45,1478
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,15,958,142,1479
Fri,2023/09/07 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,28,761,1751,1480
Thu,2023/09/06 23:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,4,215,661,1481
Thu,2023/09/06 23:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,0,350,42,1482
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,14,587,1684,1483
Fri,2023/09/07 23:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,28,419,425,1484
Thu,2023/09/06 23:00:00+00,10:00 PM-11:00 PM,Camera 331 Railway Station,4,121,474,1485
Thu,2023/09/06 23:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,0,2,41,1486
Fri,2023/09/07 23:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,14,588,1513,1487
Fri,2023/09/07 23:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,14,446,912,1488
Fri,2023/09/07 23:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,14,204,772,1489
Fri,2023/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,14,881,375,1490
Fri,2023/09/07 23:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,14,784,150,1491
Fri,2023/09/07 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,13,726,1769,1492
Fri,2023/09/07 23:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,13,546,757,1493
Fri,2023/09/07 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,13,274,70,1494
Fri,2023/09/07 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,13,697,20,1495
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,13,988,8,1496
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,12,607,2215,1497
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 331 Railway Station,12,615,1650,1498
Fri,2023/09/07 23:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,12,690,1371,1499
Fri,2023/09/07 23:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,12,318,1293,1500
Fri,2023/09/07 23:00:00+00,6:00 AM-7:00 AM,Camera 331 Railway Station,12,40,505,1501
Fri,2023/09/07 23:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,12,52,284,1502
Fri,2023/09/07 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,12,1999,142,1503
Fri,2023/09/07 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,12,641,87,1504
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,12,1162,12,1505
Fri,2023/09/07 23:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,11,748,1571,1506
Fri,2023/09/07 23:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,11,249,1335,1507
Fri,2023/09/07 23:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,11,588,946,1508
Fri,2023/09/07 23:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,11,965,516,1509
Fri,2023/09/07 23:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,11,959,499,1510
Fri,2023/09/07 23:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,11,1462,74,1511
Fri,2023/09/07 23:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,11,756,15,1512
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,10,1183,469,1513
Fri,2023/09/07 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,10,381,84,1514
Fri,2023/09/07 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,10,1967,28,1515
Fri,2023/09/07 23:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,9,219,702,1516
Fri,2023/09/07 23:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,9,1082,510,1517
Fri,2023/09/07 23:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,9,435,286,1518
Fri,2023/09/07 23:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,9,319,87,1519
Fri,2023/09/07 23:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,9,941,6,1520
Fri,2023/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 331 Railway Station,8,537,1676,1521
Fri,2023/09/07 23:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,8,784,432,1522
Fri,2023/09/07 23:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,8,49,63,1523
Fri,2023/09/07 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,8,1587,34,1524
Fri,2023/09/07 23:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,8,603,14,1525
Fri,2023/09/07 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,27,4111,15,1526
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,26,2717,65,1527
Fri,2023/09/07 23:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,25,688,1510,1528
Thu,2023/09/06 23:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,4,129,418,1529
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,0,2,40,1530
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,24,720,1626,1531
Thu,2023/09/06 23:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,4,286,202,1532
Thu,2023/09/06 23:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,22,25,1533
Fri,2023/09/07 23:00:00+00,10:00 PM-11:00 PM,Camera 331 Railway Station,24,354,470,1534
Thu,2023/09/06 23:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,4,590,193,1535
Thu,2023/09/06 23:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,0,84,24,1536
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,23,871,1617,1537
Thu,2023/09/06 23:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,4,88,143,1538
Thu,2023/09/06 23:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,112,23,1539
Fri,2023/09/07 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,23,1944,127,1540
Thu,2023/09/06 23:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,4,167,112,1541
Thu,2023/09/06 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,56,23,1542
Fri,2023/09/07 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,23,3753,15,1543
Thu,2023/09/06 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,4,194,21,1544
Thu,2023/09/06 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,16,23,1545
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,7,22,1546
Thu,2023/09/06 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,13,19,1547
Thu,2023/09/06 23:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,0,23,13,1548
Thu,2023/09/06 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,5,9,1549
Thu,2023/09/06 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,33,5,1550
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,12,5,1551
Thu,2023/09/06 23:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,0,59,4,1552
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,0,40,4,1553
Thu,2023/09/06 23:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,0,22,4,1554
Thu,2023/09/06 23:00:00+00,12:00 AM-1:00 AM,Camera 331 Railway Station,0,40,1,1555
Thu,2023/09/06 23:00:00+00,1:00 AM-2:00 AM,Camera 331 Railway Station,0,6,0,1556
Thu,2023/09/06 23:00:00+00,2:00 AM-3:00 AM,Camera 331 Railway Station,0,6,0,1557
Fri,2023/09/07 23:00:00+00,8:00 AM-9:00 AM,Camera 331 Railway Station,123,151,1932,1558
Fri,2023/09/07 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,119,2897,106,1559
Fri,2023/09/07 23:00:00+00,6:00 PM-7:00 PM,Camera 331 Railway Station,114,851,1917,1560
Fri,2023/09/07 23:00:00+00,5:00 PM-6:00 PM,Camera 331 Railway Station,98,1329,2674,1561
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 331 Railway Station,85,1140,2358,1562
Fri,2023/09/07 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,81,2464,123,1563
Fri,2023/09/07 23:00:00+00,10:00 AM-11:00 AM,Camera 331 Railway Station,78,387,1590,1564
Fri,2023/09/07 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,22,227,986,1565
Fri,2023/09/07 23:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,22,1834,159,1566
Fri,2023/09/07 23:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,22,227,47,1567
Fri,2023/09/07 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,22,3698,17,1568
Thu,2023/09/06 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,4,185,11,1569
Fri,2023/09/07 23:00:00+00,1:00 PM-2:00 PM,Camera 331 Railway Station,20,811,1951,1570
Thu,2023/09/06 23:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,4,364,6,1571
Fri,2023/09/07 23:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,20,926,1805,1572
Thu,2023/09/06 23:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,4,611,0,1573
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,20,2597,6,1574
Thu,2023/09/06 23:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,3,107,356,1575
Fri,2023/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,19,593,1224,1576
Thu,2023/09/06 23:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,3,530,350,1577
Fri,2023/09/07 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,19,550,1156,1578
Thu,2023/09/06 23:00:00+00,11:00 PM-12:00 AM,Camera 331 Railway Station,3,68,260,1579
Fri,2023/09/07 23:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,18,767,1731,1580
Thu,2023/09/06 23:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,3,28,135,1581
Fri,2023/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,18,820,1645,1582
Thu,2023/09/06 23:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,3,385,134,1583
Fri,2023/09/07 23:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,18,327,100,1584
Thu,2023/09/06 23:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,3,86,60,1585
Fri,2023/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,18,3245,7,1586
Thu,2023/09/06 23:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,3,29,60,1587
Fri,2023/09/07 23:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,17,570,1688,1588
Thu,2023/09/06 23:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,3,97,42,1589
Fri,2023/09/07 23:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,17,620,1603,1590
Thu,2023/09/06 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,3,241,2,1591
Fri,2023/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,16,686,1762,1592
Thu,2023/09/06 23:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,3,38,1,1593
Fri,2023/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,16,759,1219,1594
Thu,2023/09/06 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,2,28,810,1595
Thu,2023/09/06 23:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,2,23,142,1596
Thu,2023/09/06 23:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,2,207,114,1597
Thu,2023/09/06 23:00:00+00,5:00 AM-6:00 AM,Camera 331 Railway Station,2,11,95,1598
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,2,45,77,1599
Thu,2023/09/06 23:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,2,79,64,1600
Sat,2023/09/08 23:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,12,411,418,1601
Sun,2023/09/09 23:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,98,282,1602
Sun,2023/09/09 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,9,156,427,1603
Sat,2023/09/08 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,6,249,10,1604
Mon,2023/09/10 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,28,707,1855,1605
Sat,2023/09/08 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,2,332,12,1606
Sat,2023/09/08 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,12,3604,15,1607
Sat,2023/09/08 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,12,2400,13,1608
Sat,2023/09/08 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,12,3369,11,1609
Sat,2023/09/08 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,12,615,10,1610
Sat,2023/09/08 23:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,11,832,1510,1611
Sat,2023/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,11,337,1065,1612
Sat,2023/09/08 23:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,11,1655,115,1613
Sat,2023/09/08 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,11,1672,81,1614
Sat,2023/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,11,2668,30,1615
Sat,2023/09/08 23:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,10,753,1096,1616
Sat,2023/09/08 23:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,10,128,620,1617
Sat,2023/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,10,1165,573,1618
Sat,2023/09/08 23:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,10,755,562,1619
Sat,2023/09/08 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,10,257,409,1620
Sat,2023/09/08 23:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,10,371,128,1621
Sat,2023/09/08 23:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,10,234,85,1622
Sat,2023/09/08 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,10,2440,18,1623
Sat,2023/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,9,499,1181,1624
Sat,2023/09/08 23:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,9,869,1167,1625
Sat,2023/09/08 23:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,9,678,928,1626
Sat,2023/09/08 23:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,9,1182,602,1627
Sat,2023/09/08 23:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,9,155,568,1628
Sat,2023/09/08 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,9,1693,16,1629
Sat,2023/09/08 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,9,1423,16,1630
Sat,2023/09/08 23:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,8,653,1552,1631
Sat,2023/09/08 23:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,8,665,1242,1632
Sat,2023/09/08 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,8,408,1116,1633
Sat,2023/09/08 23:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,8,632,720,1634
Sat,2023/09/08 23:00:00+00,7:00 AM-8:00 AM,Camera 331 Railway Station,8,147,489,1635
Sat,2023/09/08 23:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,8,83,151,1636
Sat,2023/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,8,362,109,1637
Sat,2023/09/08 23:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,8,583,48,1638
Sat,2023/09/08 23:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,8,1097,11,1639
Sat,2023/09/08 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,8,680,11,1640
Sat,2023/09/08 23:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,7,206,495,1641
Sat,2023/09/08 23:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,7,77,452,1642
Sat,2023/09/08 23:00:00+00,12:00 AM-1:00 AM,Camera 331 Railway Station,7,92,316,1643
Sat,2023/09/08 23:00:00+00,6:00 AM-7:00 AM,Camera 331 Railway Station,7,71,215,1644
Sat,2023/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,7,1471,109,1645
Sat,2023/09/08 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,7,1568,69,1646
Sat,2023/09/08 23:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,7,1418,28,1647
Sat,2023/09/08 23:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,7,1279,18,1648
Sat,2023/09/08 23:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,7,1095,13,1649
Sat,2023/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,7,1234,3,1650
Sat,2023/09/08 23:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,6,831,947,1651
Sat,2023/09/08 23:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,6,431,491,1652
Sat,2023/09/08 23:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,6,1276,410,1653
Sat,2023/09/08 23:00:00+00,1:00 AM-2:00 AM,Camera 331 Railway Station,6,45,226,1654
Sat,2023/09/08 23:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,6,356,85,1655
Sun,2023/09/09 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,30,2056,109,1656
Sun,2023/09/09 23:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,4,39,9,1657
Sun,2023/09/09 23:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,0,44,179,1658
Sun,2023/09/09 23:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,9,40,95,1659
Sat,2023/09/08 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,6,404,8,1660
Sun,2023/09/09 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,28,803,1813,1661
Mon,2023/09/10 23:00:00+00,6:00 PM-7:00 PM,Camera 331 Railway Station,28,408,520,1662
