Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Tue,2023/08/14 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,30,3298,76,60
Tue,2023/08/14 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,22,2987,45,61
Wed,2023/08/01 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,6,637,43,62
Wed,2023/08/01 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,6,74,17,63
Wed,2023/08/01 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,6,1312,13,64
Wed,2023/08/01 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,6,308,8,65
Wed,2023/08/01 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,5,656,5,66
Wed,2023/08/01 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,5,556,4,67
Wed,2023/08/01 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,4,198,41,68
Tue,2023/08/14 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,17,1785,82,69
Wed,2023/08/01 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,3,25,17,70
Tue,2023/08/14 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,14,216,74,71
Wed,2023/08/01 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,1,10,20,72
Tue,2023/08/14 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,12,3912,76,73
Wed,2023/08/01 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,1,8,6,74
Tue,2023/08/14 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,12,706,61,75
Wed,2023/08/01 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,1,263,5,76
Tue,2023/08/14 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,12,993,58,77
Wed,2023/08/01 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,135,5,78
Tue,2023/08/14 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,11,2002,55,79
Wed,2023/08/01 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,40,21,80
Tue,2023/08/14 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,11,3980,52,81
Wed,2023/08/01 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,6,13,82
Tue,2023/08/14 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,11,2290,44,83
Wed,2023/08/01 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,44,12,84
Tue,2023/08/14 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,10,318,66,85
Wed,2023/08/01 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,0,1205,10,86
Tue,2023/08/14 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,9,398,79,87
Wed,2023/08/01 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,3,8,88
Tue,2023/08/14 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,7,145,48,89
Thu,2023/08/02 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,24,2399,19,90
Tue,2023/08/14 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,6,422,46,91
Thu,2023/08/02 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,24,3722,18,92
Tue,2023/08/14 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,5,112,32,93
Thu,2023/08/02 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,15,1832,21,94
Tue,2023/08/14 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,4,284,56,95
Tue,2023/08/14 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,66,44,96
Tue,2023/08/14 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,42,35,97
Tue,2023/08/14 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,53,24,98
Tue,2023/08/14 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,12,20,99
Tue,2023/08/14 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,16,12,100
Thu,2023/08/02 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,15,2948,10,101
Thu,2023/08/02 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,13,589,91,102
Thu,2023/08/02 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,13,3107,23,103
Thu,2023/08/02 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,12,2396,16,104
Thu,2023/08/02 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,12,685,14,105
Thu,2023/08/02 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,11,1434,24,106
Thu,2023/08/02 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,11,3604,14,107
Thu,2023/08/02 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,8,734,61,108
Thu,2023/08/02 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,8,702,12,109
Thu,2023/08/02 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,6,3687,6,110
Thu,2023/08/02 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,6,204,5,111
Thu,2023/08/02 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,6,55,4,112
Thu,2023/08/02 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,3,499,63,113
Thu,2023/08/02 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,3,78,54,114
Thu,2023/08/02 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,2,40,5,115
Thu,2023/08/02 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,278,79,116
Thu,2023/08/02 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,15,8,117
Thu,2023/08/02 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,54,5,118
Thu,2023/08/02 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,29,5,119
Thu,2023/08/02 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,17,2,120
Thu,2023/08/02 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,52,1,121
Fri,2023/08/03 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,24,3665,16,122
Fri,2023/08/03 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,23,2652,15,123
Fri,2023/08/03 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,18,3223,6,124
Fri,2023/08/03 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,15,2934,7,125
Fri,2023/08/03 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,15,1220,3,126
Fri,2023/08/03 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,14,858,68,127
Fri,2023/08/03 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,13,2017,7,128
Fri,2023/08/03 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,12,1411,16,129
Fri,2023/08/03 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,11,3162,15,130
Fri,2023/08/03 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,9,3499,12,131
Fri,2023/08/03 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,9,214,12,132
Fri,2023/08/03 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,7,60,3,133
Fri,2023/08/03 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,6,679,73,134
Fri,2023/08/03 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,4,645,118,135
Fri,2023/08/03 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,4,741,14,136
Fri,2023/08/03 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,4,2142,12,137
Fri,2023/08/03 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,2,23,25,138
Fri,2023/08/03 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,1,33,28,139
Fri,2023/08/03 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,232,10,140
Fri,2023/08/03 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,1,142,6,141
Fri,2023/08/03 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,68,41,142
Fri,2023/08/03 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,44,31,143
Fri,2023/08/03 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,45,20,144
Fri,2023/08/03 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,7,7,145
Sat,2023/08/04 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,12,356,10,146
Sat,2023/08/04 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,11,1102,9,147
Sat,2023/08/04 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,10,899,7,148
Sat,2023/08/04 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,9,1094,6,149
Sat,2023/08/04 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,4,517,96,150
Fri,2023/08/10 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,3,133,2,151
Fri,2023/08/10 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,2,70,24,152
Fri,2023/08/10 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,41,26,153
Fri,2023/08/10 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,55,20,154
Fri,2023/08/10 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,27,18,155
Fri,2023/08/10 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,7,11,156
Sat,2023/08/11 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,20,1909,19,157
Sat,2023/08/11 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,14,2373,20,158
Sat,2023/08/11 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,14,2916,18,159
Sat,2023/08/11 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,11,1119,17,160
Sat,2023/08/11 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,11,3147,15,161
Sat,2023/08/11 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,10,2881,12,162
Sat,2023/08/11 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,10,3143,9,163
Sat,2023/08/11 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,9,1828,14,164
Sat,2023/08/11 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,8,79,6,165
Sat,2023/08/11 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,7,545,110,166
Sat,2023/08/11 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,6,726,97,167
Sat,2023/08/11 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,5,3113,6,168
Sat,2023/08/11 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,3,544,117,169
Sat,2023/08/11 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,3,274,74,170
Sat,2023/08/11 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,3,492,11,171
Sat,2023/08/11 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,3,137,6,172
Sat,2023/08/11 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,2,480,6,173
Sat,2023/08/11 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,2,164,6,174
Sat,2023/08/11 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,294,90,175
Sat,2023/08/11 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,149,7,176
Sat,2023/08/11 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,0,138,4,177
Sat,2023/08/11 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,30,4,178
Sat,2023/08/11 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,85,3,179
Sat,2023/08/11 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,40,1,180
Sun,2023/08/12 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,20,1532,12,181
Sun,2023/08/12 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,11,1867,2,182
Sun,2023/08/12 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,9,2398,9,183
