Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Wed,2023/12/27 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,2,642,40,5195
Wed,2023/12/27 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,2,402,27,5196
Wed,2023/12/27 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,2,148,22,5197
Wed,2023/12/27 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,2,389,19,5198
Wed,2023/12/27 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,2,467,14,5199
Wed,2023/12/27 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,2,29,10,5200
Thu,2023/12/28 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,1,203,473,5201
Thu,2023/12/28 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,1,1186,449,5202
Thu,2023/12/28 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,1,146,380,5203
Thu,2023/12/28 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,1,81,249,5204
Thu,2023/12/28 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,1,22,173,5205
Thu,2023/12/28 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,74,140,5206
Thu,2023/12/28 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,1,293,118,5207
Thu,2023/12/28 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,1,699,110,5208
