Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Sat,2023/12/30 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,3,359,100,5559
Fri,2023/12/29 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,9,432,1565,5560
Sat,2023/12/30 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,3,435,70,5561
Fri,2023/12/29 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,9,1865,73,5562
Sat,2023/12/30 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,3,494,54,5563
Fri,2023/12/29 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,9,196,60,5564
Sat,2023/12/30 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,3,577,37,5565
Fri,2023/12/29 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,8,47,505,5566
Sat,2023/12/30 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,3,1098,21,5567
Fri,2023/12/29 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,8,2940,25,5568
Sat,2023/12/30 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,3,196,12,5569
Fri,2023/12/29 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,7,782,1971,5570
Sat,2023/12/30 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,2,540,1340,5571
Fri,2023/12/29 00:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,7,1208,564,5572
Sat,2023/12/30 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,2,212,918,5573
Fri,2023/12/29 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,7,51,358,5574
Sat,2023/12/30 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,2,67,830,5575
Fri,2023/12/29 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,6,73,633,5576
Sat,2023/12/30 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,2,220,757,5577
Fri,2023/12/29 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,6,1052,582,5578
Sat,2023/12/30 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,2,280,454,5579
Fri,2023/12/29 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,6,1004,529,5580
Sat,2023/12/30 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,2,440,257,5581
Fri,2023/12/29 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,6,1452,187,5582
Sat,2023/12/30 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,2,462,207,5583
Fri,2023/12/29 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,5,1156,1590,5584
Sat,2023/12/30 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,2,269,202,5585
Fri,2023/12/29 00:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,5,326,1461,5586
Sat,2023/12/30 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,2,2,153,5587
Fri,2023/12/29 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,5,423,200,5588
Sat,2023/12/30 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,2,184,148,5589
Sat,2023/12/30 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,2,336,135,5590
Sat,2023/12/30 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,2,333,124,5591
Sat,2023/12/30 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,2,314,106,5592
Sat,2023/12/30 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,2,217,32,5593
Sat,2023/12/30 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,2,220,20,5594
Sat,2023/12/30 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,2,242,15,5595
Sat,2023/12/30 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,2,1642,6,5596
Fri,2023/12/29 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,5,862,145,5597
Fri,2023/12/29 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,5,1964,54,5598
Fri,2023/12/29 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,5,4404,10,5599
Fri,2023/12/29 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,5,2829,8,5600
Sat,2023/12/30 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,389,192,5601
Sun,2023/12/31 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,2,354,81,5602
Sat,2023/12/30 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,379,180,5603
Sat,2023/12/30 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,6,13,5604
Sun,2023/12/31 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,2,17,67,5605
Sat,2023/12/30 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,0,372,168,5606
