Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Mon,2024/02/12 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,112,302,1096,1
Sun,2024/02/18 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,29,169,586,2
Mon,2024/02/12 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,98,160,893,3
Sun,2024/02/25 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,87,2090,192,4
Fri,2024/02/02 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,76,481,726,5
Fri,2024/02/23 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,76,1320,250,6
Fri,2024/02/09 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,75,682,1399,7
Thu,2024/02/01 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,67,165,669,8
Tue,2024/02/06 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,66,629,1073,9
Fri,2024/02/02 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,65,459,1236,10
Mon,2024/02/12 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,65,150,872,11
Fri,2024/02/02 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,64,159,1507,12
Sat,2024/02/03 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,63,277,1049,13
Fri,2024/02/02 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,61,445,1503,14
Thu,2024/02/29 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,61,282,1066,15
Thu,2024/02/22 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,60,461,865,16
Tue,2024/02/20 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,60,56,672,17
Thu,2024/02/15 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,57,203,1127,18
Tue,2024/02/06 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,57,703,1060,19
Tue,2024/02/20 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,57,256,1016,20
Wed,2024/02/21 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,57,269,874,21
Fri,2024/02/02 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,56,263,1334,22
Tue,2024/02/27 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,56,373,960,23
Wed,2024/02/21 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,56,339,942,24
Mon,2024/02/26 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,56,415,896,25
Tue,2024/02/06 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,55,554,1068,26
Fri,2024/02/02 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,55,415,990,27
Mon,2024/02/12 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,55,400,840,28
Thu,2024/02/22 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,55,246,826,29
Tue,2024/02/20 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,54,403,837,30
Wed,2024/02/21 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,54,191,809,31
Thu,2024/02/15 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,54,98,783,32
Fri,2024/02/09 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,52,701,1335,33
Thu,2024/02/29 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,52,224,1293,34
Tue,2024/02/27 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,52,426,908,35
Thu,2024/02/22 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,52,396,866,36
Thu,2024/02/22 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,52,308,817,37
Wed,2024/02/07 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,51,396,1206,38
Sat,2024/02/24 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,51,1428,199,39
Sun,2024/02/04 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,50,280,868,40
Tue,2024/02/27 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,49,271,1247,41
Sun,2024/02/25 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,49,2103,181,42
Mon,2024/02/19 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,49,1456,92,43
Wed,2024/02/14 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,48,105,867,44
Thu,2024/02/22 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,48,310,813,45
Mon,2024/02/05 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,47,194,1378,46
Fri,2024/02/09 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,47,567,1198,47
Sat,2024/02/17 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,47,454,842,48
Sat,2024/02/03 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,46,354,1318,49
Thu,2024/02/01 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,46,580,1251,50
Thu,2024/02/01 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,46,220,1166,51
Thu,2024/02/08 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,29,2562,250,52
Sun,2024/02/18 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,29,1479,171,53
Thu,2024/02/01 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,29,1716,171,54
Mon,2024/02/19 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,29,2546,154,55
Sun,2024/02/11 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,29,1709,146,56
Thu,2024/02/22 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,29,643,87,57
Mon,2024/02/19 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,29,1337,80,58
Sat,2024/02/10 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,29,3404,28,59
Thu,2024/02/01 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,29,1904,23,60
Sat,2024/02/03 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,29,3643,8,61
