Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/09/30 23:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,24,464,1370,60
Sun,2023/09/30 23:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,4,492,6,61
Mon,2023/10/01 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,42,541,993,62
Sun,2023/09/30 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,23,288,699,63
Sun,2023/09/30 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,23,1333,220,64
Sun,2023/09/30 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,22,2693,101,65
Sun,2023/09/30 23:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,20,866,1804,66
Sun,2023/09/30 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,20,608,1469,67
Sun,2023/09/30 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,20,2290,144,68
Sun,2023/09/30 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,20,1820,5,69
Sun,2023/09/30 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,18,181,592,70
Sun,2023/09/30 23:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,17,731,1582,71
Sun,2023/09/30 23:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,17,638,1352,72
Sun,2023/09/30 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,17,1447,152,73
Sun,2023/09/30 23:00:00+00,8:00 AM-9:00 AM,Camera 331 Railway Station,16,72,680,74
Sun,2023/09/30 23:00:00+00,7:00 PM-8:00 PM,Camera 331 Railway Station,15,228,1202,75
Sun,2023/09/30 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,15,133,216,76
Sun,2023/09/30 23:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,14,610,1292,77
Sun,2023/09/30 23:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,14,317,995,78
Sun,2023/09/30 23:00:00+00,8:00 PM-9:00 PM,Camera 331 Railway Station,14,232,861,79
Sun,2023/09/30 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,14,703,153,80
Sun,2023/09/30 23:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,14,311,37,81
Sun,2023/09/30 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,14,1312,1,82
Sun,2023/09/30 23:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,13,886,1684,83
Sun,2023/09/30 23:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,13,675,1150,84
Sun,2023/09/30 23:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,13,482,849,85
Sun,2023/09/30 23:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,12,599,77,86
Sun,2023/09/30 23:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,4,111,4,87
Sun,2023/09/30 23:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,3,89,355,88
